problem,answer,problem_image_1,problem_image_2,answer_image_1,answer_image_2
What were Daniel O’Connell’s strengths and weaknesses as a political leader?,"Max. CM = 60
Max. OE = 40
NOTE: TWO elements (strengths + weaknesses) If only one, Max. CM = 50",,,,
Would you agree that Fenianism had both an Irish and an international dimension? Give reasons for your answer.,"Max. CM = 60
Max. OE = 40
NOTE: TWO elements (Irish + international) If only one, Max. CM = 50",,,,
What was the contribution to cultural/religious identities of two of the following: William Carleton; Thomas Davis; Cardinal Paul Cullen?,"Max. CM = 60
Max. OE = 40
NOTE: TWO elements If only one, Max. CM = 50",,,,
"During the years 1870-1914, what was the importance of land legislation and land reform?","Max. CM = 60
Max. OE = 40",,,,
What were the successes and failures of the Home Rule movement during the period 1870-1891?,"Max. CM = 60
Max. OE = 40
NOTE: TWO elements (successes + failures) If only one, Max. CM = 50",,,,
"During the period up to 1914, who was the more effective political leader, Edward Carson or John Redmond? Argue your case, referring to both.","Max. CM = 60
Max. OE = 40
NOTE: TWO elements (Carson + Redmond)",,,,
"From your study of culture and society, 1870-1914, what was the importance of two of the following: Douglas Hyde; the GAA; educational reforms (schools and universities)?","Max. CM = 60
Max. OE = 40
NOTE: TWO elements",,,,
"Would you agree that Ireland experienced a decade of revolutionary change, 1912-1922? Give reasons for your answer.","Max. CM = 60
Max. OE = 40",,,,
"During the years 1920-1945, how well did the government of Northern Ireland deal with social and economic problems and/or threats to security?","Max. CM = 60
Max. OE = 40",,,,
"What were the successes and failures of Éamon de Valera in power, 1932-1948?","Max. CM = 60
Max. OE = 40
NOTE: TWO elements (successes + failures) If only one, Max. CM = 50",,,,
"What were the main events of the Eucharistic Congress, 1932, and in what ways did the Congress contribute to Irish cultural identity?","Max. CM = 60
Max. OE = 40
NOTE: TWO elements (events + identity) If only one, Max. CM = 50",,,,
"What factors, at home and abroad, contributed to Irish emigration, 1840-1914?","Max. CM = 60
NOTE: TWO elements (home + abroad) Max. OE = 40 If only one, Max. CM = 50",,,,
What was the importance of Grosse Isle in the history of Irish emigration?,"Max. CM = 60
Max. OE = 40",,,,
How did John Devoy and/or Andrew Bonar Law influence developments in Ireland?,"Max. CM = 60
Max. OE = 40",,,,
