problem,answer
"The velocity of the ball as it is released is at an angle of 36° above the horizontal. The ball is released at a height of 1.26 m above the ground and lands 3.79 s later.
Ignoring air resistance,
calculate the maximum height above the ground reached by the ball,","$v^2 = u^2 + 2as$ [3]
$s_y= 12.85$ (m) [2]
(above ground $= 12.85 + 1.26 =) 14.11$ m [2]"
"The velocity of the ball as it is released is at an angle of 36° above the horizontal. The ball is released at a height of 1.26 m above the ground and lands 3.79 s later.
Ignoring air resistance,
calculate the horizontal distance travelled by the ball in 3.79 s.","$s=ut$ [3]
$s_x = 82.79$ m [2]" 
"A moving-coil loudspeaker is based on the principle that a current-carrying conductor in a magnetic field experiences a force.
A wire of length 65 cm carrying a current of 3 A experiences a force of 7 mN when placed in a magnetic field. Calculate the magnetic flux density of the field when the current is flowing at right angles to the field.","$F = BIl$ [3]
$B = 0.0036$ T [3]"
"A loudspeaker has a power of 80 mW.
Calculate the sound intensity for a person standing 7 m from the loudspeaker.","$I = P/A$ [3]
$A = 4\pi r^2$ [3]
$I = 1.3 \times 10^{-4}$ W m$^{-2}$ [3]"
"A loudspeaker has a power of 80 mW.
This sound intensity is halved for the person when they stand a distance d from the loudspeaker. Calculate d.","$I \propto \frac{1}{r^2}$ / reference to $\sqrt{2}$ [3]
9.9 m [2]"
"A loudspeaker has a power of 80 mW.
After this, the speaker of power 80 mW is replaced by a speaker of power 20 mW. Calculate the decrease in sound intensity level.","reference to 3  [2]
6 dB [3]"
"A current of 5 A flows in an electric drill when it is connected to the mains supply.  Some of the 
input energy is dissipated as heat.
Calculate the input power supplied to the drill by the 230 V mains supply.","$P = VI$ [3]
$P = 1150$ W [3]"
"A current of 5 A flows in an electric drill when it is connected to the mains supply.  Some of the 
input energy is dissipated as heat.
Calculate the percentage efficiency of the drill.","$\frac{P_o}{P_i} \times 100$ or $P=W/t$ [3]
52.2 % [3]"
"Food irradiation is used to delay spoilage and prevent illness caused by microorganisms.
Calculate the maximum energy of the X-rays used for food irradiation.","$c=f\lambda$ and $E=hf$ [3]
$E = 1.95 \times 10^{-14}$ J [3]"
"Food irradiation is used to delay spoilage and prevent illness caused by microorganisms. It is the process of exposing food and food packaging to ionising radiation, such as X–rays and gamma rays.  
Cobalt–60 is commonly used to produce gamma rays for food irradiation. Cobalt–60 emits gamma rays with an average energy of 1.25 MeV.
How many times bigger is the average energy of the gamma rays than the maximum energy of the X-rays?","$1 eV = 1.6 \times 10^{-19}$ J [3]
10.28 times [3]"
"A parallel-plate capacitor with metal plates of area 0.0225 m$^2$ are placed 8 mm apart in a vacuum.
A voltage of 3 kV is applied across the plates. Calculate the maximum potential energy stored in the capacitor.","$C = \frac{\varepsilon A}{d}$ [3]
$W = \frac{1}{2} C V^2$ [3]
$W= 1.12 \times 10^{-4}$ J [3]"
"Capacitors and resistors can be combined to create timing circuits such as those used to create the flash on a camera. The circuit diagram below shows a resistor and a capacitor connected in series with a 30 V power supply. The current flowing in the circuit at a given instant is 0.3 mA.
Calculate the potential difference across the resistor at this instant.","$V=IR$ [3]
$V=7.5$ V [3]"
"Capacitors and resistors can be combined to create timing circuits such as those used to create the flash on a camera. The circuit diagram below shows a resistor and a capacitor connected in series with a 30 V power supply. The current flowing in the circuit at a given instant is 0.3 mA.
Calculate the charge held by the capacitor at this instant.","$V_{capacitor} = 30 - 7.5 = (22.5)$ (V) [2]
$C = q/V$ [3]
$q = 1.91 \times 10^{-5}$ C [3]"
"When it was observed that momentum did not appear to be conserved during beta-decay, Wolfgang Pauli proposed that an additional particle must be emitted to carry away the missing 
momentum and energy. Pauli wrote, “I have done something very bad today by proposing a particle that cannot be detected; it is something no theorist should ever do”.
Calculate the energy released during this beta-decay.","$E=mc^2$ [3]
change in mass $= 1.395 \times 10^{-30}$ (kg) [3]
$E = 1.25 \times 10^{-13}$ J [3]" 
"Neutrons involved in beta-decay are classified as baryons, while electrons and positrons are classified as leptons. Pair annihilation occurs when an electron and a positron meet.  
Write an equation that represents this process.","$_{-1}^{0}e + _{1}^{0}e \rightarrow 2\gamma$
// $2mc^2 = 2hf$ [6]"
"John Tyndall ranks as one of Ireland’s most successful scientists and educators.  He reached the pinnacle of 19th century science and counted amongst his friends and collaborators many of the best-known scientists of that century.  Tyndall’s scientific interests spanned heat, sound, light and environmental phenomena. Amongst his many achievements, perhaps he is best known for the explanation of why the sky is blue – the scattering of light by small particles suspended in the atmosphere.  Blue light is scattered more than other colours because it travels at shorter wavelengths.  This colour is known as Tyndall Blue. His major scientific interest was the study of the interaction of light with matter, especially gases.  He studied the absorption of infrared radiation by gases found in the atmosphere.  He made the first studies of atmospheric pollution in London. 
adapted from: ‘The Ascent of John Tyndall: Victorian Scientist, Mountaineer, and Public Intellectual’ (Roland Jackson) Oxford University Press 2018
The refractive index of a medium varies for different wavelengths of light.  Therefore, different colours travel at different speeds and are turned through different angles.
The refractive index of a block of glass for red light is 1.51 and for violet light is 1.53.
Calculate the difference between the speed of the red light and the speed of the violet light as they travel through the block of glass.","$n = \frac{c}{v}$ [3]
$c_{red} = 1.985 \times 10^8$ (m s$^{-1}$), $c_{violet} = 1.959 \times 10^8$ (m s$^{-1}$) [2+1]
difference $= 2.6 \times 10^6$ m s$^{-1}$ [2]"
"A man is competition participants are required to slide from a raised horizontal platform down a 2.4 m long slide. The slide is at an angle of 32° to the horizontal from the platform.
Calculate the height of the platform above the surface of the water.","slide height = 2.4 sin 32° (= 1.27 m) [3]
total height = 1.27 + 0.9 = 2.17 m [3]"
"A man is competition participants are required to slide from a raised horizontal platform down a 2.4 m long slide. The slide is at an angle of 32° to the horizontal from the platform.
Calculate his velocity as he enters the water. Assume that there is no friction on the slide.","$mgh = \frac{1}{2}mv^2$ [3]
$v = 6.52$ m s$^{-1}$ [3]"
"Ra–224 is an unstable nucleus of radium.
Write a nuclear equation for this decay.",$_{88}^{224}Ra \rightarrow _{2}^{4}He + _{86}^{220}Rn$ [7x1] [-3 for additional incorrect species]
"Ra–224 has a half-life of 3.6 days.
Calculate the total number of alpha-particles emitted per second by a sample of Ra–224 containing 4.7 × 10$^{14}$ atoms.","$T_{\frac{1}{2}} = \frac{ln2}{\lambda}$ [3]
$A = \lambda N$ [3]
$A = 1.05 \times 10^{9}$ (Bq) [3]"
"A high-speed electron that strikes the screen of an oscilloscope produces the green light that is seen.
Calculate the minimum voltage required across the tube to give an electron a velocity of 2.7 × 10$^7$ m s$^{-1}$.","$E_k = \frac{1}{2}mv^2$ or $W = qV$ [3]
$qV = \frac{1}{2}mv^2$ [3]
$V = 2072$ V [3]"
"Green light of wavelength 530 nm is passed through a diffraction grating with 400 lines per mm.
Calculate the angle of separation between the second order images.","$d = \frac{1}{number\ of\ lines\ per\ metre}$ [3]
$n\lambda = d\sin i$ [3]
$\theta = 25.1$ [3]
angle of separation $= 50.2^\circ$ [3]"
