problem,answer
"Bhí teach arbh fhiú €300,000 ag Oilibhéar Ó Cadhla. Chuir sé an teach faoi árachas ar luach €250,000. Rinne pléasctha san áiléar damáiste ar luach €60,000 don teach.
Mínigh an ról atá ag an measúnóir i gcúrsaí árachais.","Déanann árachas an cúiteamh atá le fáil a ríomh. Is éard is measúnóir ann ná duine a dhéanann measúnú ar éilimh árachais lena chinntiú go bhfaighidh an duine a dhéanann an t-éileamh cúiteamh incheosanta. Déanann siad athbhreithniú ar gach gné den éileamh, amháil damáisti, na daoine lena mbaineann, tuarascálacha na ngardaí agus tuairiscí leachta.

Nó oibríonn measúnóir ar son an déantóir agus déanfaidh sé nó idirbheartaitheoir le d'árachóir chun d'éileamh a shocrú. Áirítear leis an sin figiúr socraíochta a idirbheartaíocht."
Liostaigh trí mhodh caidrimh phoiblí a mbaineann gnólachtaí úsáid astu go coitianta. Tabhair sampla de gach modh.,"1. Formhúiniú ó Dhuine Cáiliúil/Tionchairí na Meán Sóisialta: Adidas ag íoc David Beckham as a gcuid éadaí spóirt a chaitheamh.
2. Urraíocht: Allianz ag déanamh urraíochta ar Shraith Náisiúnta GLC.
3. Preaseisiúint/Comhdhálacha: Monaróir gluaisteán amháil Volkswagen ag eisiúint faisnéis phoiblíochta faoi tháirge nua.

Giac le modhanna ábhartha eile le samplaí cuí –
Gníomhaíochtaí Seirbhíse Poiblí/Comhpháirtíochtaí Carthanachta, Srl
Botháin/Taispeántais/Lá Oscailte"
Léirigh an tuiscint atá agat ar an téarma ‘Comhchoiste Oibreachais’.,"Is comhlacht neamhspleách é Comhchoiste Oibreachais (CCO) ina gcuimsítear líon comhionann ionadaithe fostóirí agus oibrithe. Socraíonn CCO na coinníollacha fostaíochta aosra pá d'fhostaithe in earnáil áirithe, mar shampla, glanadh an conradh. Is i an Chúirt Oibreachais a bhunaíonn CCOanna i ndiaidh di iarratas a fháil ó cheachtar ceann díobh seo a leanas:
* An tAire Fiontar, Trádála agus Fostaíochta
* Ceardchumann
* Eagraíocht ar bith a dhéanann ionadaíocht do na hoibrithe nó na fostóirí lena mbaineann.
Is é an tAire Fiontar, Trádála agus Fostaíochta a cheapann cathaoireach agus cathaoirleach ionaid CCO.

I measc na samplaí de na CCOanna teatha: oibrithe talmhaíochta, Lóisteoireacht, óstáin, luchtfhoghlama, gruagaireacht, eastáin, an tionscal slándála, an earnáil miondíola agus ghróseireachta agus scoilteanna Béarla."
(i) Mínigh an téarma obair foirne.,Grúpa daoine agnair/fostaithe atá ag obair le chéile chun cuspóir áirithe a bhaint amach.
(ii) Ainmnigh na ceithre chéim i bhforbairt foirne.,"Foirmiú
Ransú/Stoirmú
Normú
Feidhmiú"
"Ceist Éigeantach í seo a bhfuil 80 marc ag gabháil léi agus í bunaithe ar na hAonaid 1, 2 agus 3.
Cúram Nua-Aoise na hÉireann Teo.
Is gnólacht a reáchtálann tithe altranais é Cúram Nua-Aoise na hÉireann Teo. a bunaíodh Séamus Ó Brolacháin in 2002. Bhí Séamus ag obair in earnáil na tionsclaíochta agus ag tabhairt aire dá chuid tuismitheoirí aosta nuair a chonaic sé deis teach altranais a oscailt in oirdheisceart na hÉireann.
I dtús báire, dhíoltaigh an banc iasacht ghné a thabhairt dó chun a ghnólacht a bhunú. D’fhorbair Séamus plean gnó feabhsaithe agus fuair sé airgeadas trí chuideachta caipitil fiontair. D’éirigh Séamus as a phost sa tionsclaíocht chun oibriúchán an ghnólachta a bhainistiú. Bhí Séamus ag iarraidh go mbeadh seirbhís ar ardchaighdeán á cur ar fáil ag an ngnólacht agus thuig sé go gcaithfeadh sé togha na foirne a earcú chun é sin a bhaint amach. Rinne Séamus cinneadh fostaíthe a mhealladh trí thuarastal níos airde ná a chuid iomaitheoirí a thairiscint. Bhí Cúram Nua-Aoise na hÉireann ar cheann de na tithe altranais in Éirinn ba thúisce a bhain úsáid as na meáin shóisialta mar uirlis bholscaireachta.
Bhí roinnt dúshlán le sárú ag Séamus, ach in ainneoin amanna crua, d’éirigh leis na deacrachtaí sin a shárú agus d’oscail sé an dara teach altranais in 2023. Creideann infheisteoirí san fhis seirbhís den chéad scoth a mholadh i gcónaí i gCúram Nua-Aoise na hÉireann agus tá sé beartaithe acu roinnt tithe altranais slachtmhar eile a thairiscint i rith 2023. Thug Séamus a fhocal go leanann sé ag athbhreithniú a chuid pleananna chun cur leis na háiseanna ina dtithe altranais. Slacfaidh sé uaidh na sonraí a mbeidh ag baint le gach teach altranais. Slacfaidh Séamus uaidh bealaí freisin chun an bhuisnéis a chur chun cinn. Tá rún daingean aige Séamus gan brath ar an bpobal dá dheasca sin.
Tá forbairt tagtha ar thacar scileanna Séamuis le fiche bliain anuas. Tá a stíl bhainistíochta athraithe aige. Anois déanann Séamus údarás a tharmligean chuig an meánbhainistíocht sna tithe altranais. Anois bíonn cruinnithe rialta ag Séamus lena fhoireann meánbhainistíochta. Thug Séamus isteach scéim chruinnithe measúnaithe don fhoireann agus bíonn siad siar ar siúl go bliantúil. Aithnítear spriocanna do na fostaíthe ag na cruinnithe sin agus spreagtar an fhoireann chun údar imní atá acu a chur in iúl. Nuair a dhéanann sé sin, is féidir leat a bheith sásta go ndéantar gach rud.
Creideann Séamus go bhfuil dea-chaighdeán ag dul i bhfeidhm ar na seirbhísí ábhartha don tosaíocht faoi láthair, in ionad na meán sóisialta. Thug Séamus isteach scéim chuidithe d’fhostaithe atá ag iarraidh tuilleadh oideachais tríú leibhéal a fháil. Creideann Séamus má thugann sé aire dá fhoireann go dtabharfaidh siadsan cúram agus seirbhís ar leibhéal is airde dó na cónaitheoirí atá ag Cúram Nua-Aoise na hÉireann.

(A) Tabhair breac-chuntas ar na scileanna/tréithe fiontraíochta a thaispeáin uinéir Chúram Nua-Aoise na hÉireann Teo. Bíodh tagairt agat don téacs i do fhreagra.
(B) (i) Sainmhínigh an téarma conradh.
(ii) Déan plé ar na gnéithe riachtanacha de chonradh bailí atá ann maidir leis an gceannach talún a rinne Cúram Nua-Aoise na hÉireann Teo. Bíodh tagairt agat don téacs i do fhreagra.
(C) Déan measúnú ar an dóigh a bhfuil scileanna bainistíochta Shéamuis i ndiaidh cur leis an rath atá ar Chúram Nua-Aoise na hÉireann Teo. Bíodh tagairt agat don téacs i do fhreagra.","(A)

| Uas. Marc | Freagraí Féideartha |
| ----------- | ----------- |
| 10m (4+3+3) | Tabhair breac-chuntas ar na scileanna/tréithe fiontraíochta a thaispeáin uinéir Chúram Nua-Aoise na hÉireann Teo. Bíodh tagairt agat don téacs i do fhreagra. |
| 5m(2+2+1) | **Duine a théann sa tseans/Tógaint Riosca**Ní bhíonn eagla ar fiontraithe dul san fhiontar. Bíonn siad sásta an riosca pearsanta agus airgeadais a bhaineann le gnólacht a chur ar bun a ghlacadh.Is gnólacht a reáchtálann tithe altranais é Cúram Nua-Aoise na hÉireann Teo. a bunaíodh Séamus Ó Brolacháin in 2002.|
| 5m(2+2+1) | **D’éirigh Séamus as a phost sa tionsclaíocht chun oibríochtaí an ghnólachta a bhainistiú.** |
| | **Cruthaítheach/Nuálach**An cumas smaoineamh as nua agus teacht ar smaointe úra/bealaí aimsigh mar haghaidh a tháirgí níos seirbhísí. Bhí Cúram Nua-Aoise na hÉireann ar cheann de na tithe altranais in Éirinn ba thúisce a bhain úsáid as na meáin shóisialta mar uirlis bholscaireachta. |
| | **Nó** ‘Bhí Séamus ag obair in earnáil na tionsclaíochta agus ag tabhairt aire dá chuid tuismitheoirí aosta nuair a chonaic sé deis teach altranais a oscailt in oirdheisceart na hÉireann.’ |
| | **Cinntitheach/Cinnteoireacht**Forbraíonn fiontraithe an cumas chun céanna a anailísiú agus cearta agus déanann siad í a gcomhairle leis na daoine cearta agus déanann siad an buntáistí agus a bhaineann leis an gcineadh a bhfeas. |
| | **'D’éirigh Séamus as a phost sa tionsclaíocht chun oibríochtaí an ghnólachta a bhainistiú.'** |
| | **Nó** ‘Bhí Séamus ag iarraidh go mbeadh seirbhís ar ardchaighdeán á cur ar fáil ag an ngnólacht agus thuig sé go gcaithfeadh sé togha na foirne a earcú.’ |
| | **Nó** |
| | **Dírithe ar an Todhchaí/Deiseanna a Aithint/Réamhghníomhach/Uaillmhiain/Tionscnamh**Ag smaoineamh ar an todhchaí i gcéin agus ag lorg bealaí nua chun an gnólacht a fheabhsú. Ag coinneáil ar an eolas faoi athruithe ar an méid a theastaíonn ó chustaiméirí agus ag gnólacht a oiriúnú chun freastal orthu sin. |
| | 'Chonaic sé deis teach altranais a oscailt in oirdheisceart na hÉireann.' |
| | **Braisint Réadúlachta(Réadúil)/Réalaíoch**An cumas cásanna a fheiceáil mar atá siad i ndáiríre ní mar ba mhaith leis an bhfiontraí iad a fheiceáil. |
| | 'Bhí Séamus ag iarraidh go mbeadh seirbhís ar ardchaighdeán á cur ar fáil ag an ngnólacht agus thuig sé go gcaithfeadh sé togha na foirne a earcú.' |
| | **'Rinne Séamus cinneadh fostaíthe a mhealladh trí thuarastal níos airde ná a chuid iomaitheoirí a thairiscint.** |
| | **Acmhainneach (Athléimneach) / diongbháilte / féinspreagtha /Muiníneach/Féinmhuinín**Tá fiontraithe ábalta buillí agus dúshláin a shárú. |
| | **'Bhí roinnt dúshlán le sárú ag Séamus, ach in ainneoin amanna crua, d’éirigh leis na deacrachtaí sin a shárú agus d’oscail sé an dara teach altranais in 2023.** |
| | **'D’fhorbair Séamus plean gnó feabhsaithe agus fuair sé airgeadas trí chuideachta caipitil fiontair.** |
| | **Caidreamh Daonna/Líonrú**Caithfidh fiontraithe réiteach go maith le daoine |
| | **'D’fhorbair Séamus plean gnó feabhsaithe agus fuair sé airgeadas trí chuideachta caipitil fiontair.** |
| | **Neamhspleách**Is féidir le fiontraithe rudaí a dhéanamh dóibh féin / a gcuid rudaí féin a dhéanamh. Is maith leo smacht a bheith acu ar rudaí |
| | **'D’éirigh Séamus as a phost sa tionsclaíocht chun oibríochtaí an ghnólachta a bhainistiú.'** |
| | **Solúbthacht**Tá an cumas ag an bhfiontraí rudaí a athrú de réir mar is gá. |
| | Coiníonn siad suas leis an saol ionas go mbeidh siad teacht lenar bpitúil go foirfe leatsiair. |
| | **'D’fhorbair Séamus plean gnó feabhsaithe agus fuair sé airgeadas trí chuideachta caipitil fiontair.** |
| | **Inoiriúnaitheacht**Tá an fiontraí ábalta rudaí mar is gá chun caighdeáin |
| | Bhí Cúram Nua-Aoise na hÉireann ar cheann de na tithe altranais in Éirinn ba thúisce a bhain úsáid as na meáin shóisialta mar uirlis bholscaireachta. |
| | **Bainistíocht Ama**Líostaíonn fiontraithe rudaí ar fad is gá a dhéanamh agus an t-am atá ar fáil chun iad a dhéanamh. Tabharfaidh siad tús áite ansin do na cinn is tábhachtaí lena chinntiú go ndéanfar gach rud in am. |
| | **'D’éirigh Séamus as a phost sa tionsclaíocht chun oibríochtaí an ghnólachta a bhainistiú.'** |
| | **Nó** |
| | Tá an fiontraí ábalta rudaí a athrú de réir mar is gá chun caighdeáin nua a chomhlíonadh nó rudaí úra nua a dhéanamh. |
| | **'D’fhorbair Séamus plean gnó feabhsaithe agus fuair sé airgeadas trí chuideachta caipitil fiontair.** |
| | **Inoiriúnaitheacht**Tá an fiontraí ábalta rudaí mar is gá chun caighdeáin |
| | Bhí Cúram Nua-Aoise na hÉireann ar cheann de na tithe altranais in Éirinn ba thúisce a bhain úsáid as na meáin shóisialta mar uirlis bholscaireachta. |
| | **Bainistíocht Ama**Líostaíonn fiontraithe rudaí ar fad is gá a dhéanamh agus an t-am atá ar fáil chun iad a dhéanamh. Tabharfaidh siad tús áite ansin do na cinn is tábhachtaí lena chinntiú go ndéanfar gach rud in am. |
| | **'D’éirigh Séamus as a phost sa tionsclaíocht chun oibríochtaí an ghnólachta a bhainistiú.'** |"
"Ceist Éigeantach í seo a bhfuil 80 marc ag gabháil léi agus í bunaithe ar na hAonaid 1, 2 agus 3.
Cúram Nua-Aoise na hÉireann Teo.
Is gnólacht a reáchtálann tithe altranais é Cúram Nua-Aoise na hÉireann Teo. a bunaíodh Séamus Ó Brolacháin in 2002. Bhí Séamus ag obair in earnáil na tionsclaíochta agus ag tabhairt aire dá chuid tuismitheoirí aosta nuair a chonaic sé deis teach altranais a oscailt in oirdheisceart na hÉireann.
I dtús báire, dhíoltaigh an banc iasacht ghné a thabhairt dó chun a ghnólacht a bhunú. D’fhorbair Séamus plean gnó feabhsaithe agus fuair sé airgeadas trí chuideachta caipitil fiontair. D’éirigh Séamus as a phost sa tionsclaíocht chun oibriúchán an ghnólachta a bhainistiú. Bhí Séamus ag iarraidh go mbeadh seirbhís ar ardchaighdeán á cur ar fáil ag an ngnólacht agus thuig sé go gcaithfeadh sé togha na foirne a earcú chun é sin a bhaint amach. Rinne Séamus cinneadh fostaíthe a mhealladh trí thuarastal níos airde ná a chuid iomaitheoirí a thairiscint. Bhí Cúram Nua-Aoise na hÉireann ar cheann de na tithe altranais in Éirinn ba thúisce a bhain úsáid as na meáin shóisialta mar uirlis bholscaireachta.
Bhí roinnt dúshlán le sárú ag Séamus, ach in ainneoin amanna crua, d’éirigh leis na deacrachtaí sin a shárú agus d’oscail sé an dara teach altranais in 2023. Creideann infheisteoirí san fhis seirbhís den chéad scoth a mholadh i gcónaí i gCúram Nua-Aoise na hÉireann agus tá sé beartaithe acu roinnt tithe altranais slachtmhar eile a thairiscint i rith 2023. Thug Séamus a fhocal go leanann sé ag athbhreithniú a chuid pleananna chun cur leis na háiseanna ina dtithe altranais. Slacfaidh sé uaidh na sonraí a mbeidh ag baint le gach teach altranais. Slacfaidh Séamus uaidh bealaí freisin chun an bhuisnéis a chur chun cinn. Tá rún daingean aige Séamus gan brath ar an bpobal dá dheasca sin.
Tá forbairt tagtha ar thacar scileanna Séamuis le fiche bliain anuas. Tá a stíl bhainistíochta athraithe aige. Anois déanann Séamus údarás a tharmligean chuig an meánbhainistíocht sna tithe altranais. Anois bíonn cruinnithe rialta ag Séamus lena fhoireann meánbhainistíochta. Thug Séamus isteach scéim chruinnithe measúnaithe don fhoireann agus bíonn siad siar ar siúl go bliantúil. Aithnítear spriocanna do na fostaíthe ag na cruinnithe sin agus spreagtar an fhoireann chun údar imní atá acu a chur in iúl. Nuair a dhéanann sé sin, is féidir leat a bheith sásta go ndéantar gach rud.
Creideann Séamus go bhfuil dea-chaighdeán ag dul i bhfeidhm ar na seirbhísí ábhartha don tosaíocht faoi láthair, in ionad na meán sóisialta. Thug Séamus isteach scéim chuidithe d’fhostaithe atá ag iarraidh tuilleadh oideachais tríú leibhéal a fháil. Creideann Séamus má thugann sé aire dá fhoireann go dtabharfaidh siadsan cúram agus seirbhís ar leibhéal is airde dó na cónaitheoirí atá ag Cúram Nua-Aoise na hÉireann.

(A) Tabhair breac-chuntas ar na scileanna/tréithe fiontraíochta a thaispeáin uinéir Chúram Nua-Aoise na hÉireann Teo. Bíodh tagairt agat don téacs i do fhreagra.
(B) (i) Sainmhínigh an téarma conradh.
(ii) Déan plé ar na gnéithe riachtanacha de chonradh bailí atá ann maidir leis an gceannach talún a rinne Cúram Nua-Aoise na hÉireann Teo. Bíodh tagairt agat don téacs i do fhreagra.
(C) Déan measúnú ar an dóigh a bhfuil scileanna bainistíochta Shéamuis i ndiaidh cur leis an rath atá ar Chúram Nua-Aoise na hÉireann Teo. Bíodh tagairt agat don téacs i do fhreagra.","(B) (i)

| Uas. Marc | Freagraí Féideartha |
| ----------- | ----------- |
| 6m (3 + 3) | Sainmhínigh an téarma conradh. |"
"Ceist Éigeantach í seo a bhfuil 80 marc ag gabháil léi agus í bunaithe ar na hAonaid 1, 2 agus 3.
Cúram Nua-Aoise na hÉireann Teo.
Is gnólacht a reáchtálann tithe altranais é Cúram Nua-Aoise na hÉireann Teo. a bunaíodh Séamus Ó Brolacháin in 2002. Bhí Séamus ag obair in earnáil na tionsclaíochta agus ag tabhairt aire dá chuid tuismitheoirí aosta nuair a chonaic sé deis teach altranais a oscailt in oirdheisceart na hÉireann.
I dtús báire, dhíoltaigh an banc iasacht ghné a thabhairt dó chun a ghnólacht a bhunú. D’fhorbair Séamus plean gnó feabhsaithe agus fuair sé airgeadas trí chuideachta caipitil fiontair. D’éirigh Séamus as a phost sa tionsclaíocht chun oibriúchán an ghnólachta a bhainistiú. Bhí Séamus ag iarraidh go mbeadh seirbhís ar ardchaighdeán á cur ar fáil ag an ngnólacht agus thuig sé go gcaithfeadh sé togha na foirne a earcú chun é sin a bhaint amach. Rinne Séamus cinneadh fostaíthe a mhealladh trí thuarastal níos airde ná a chuid iomaitheoirí a thairiscint. Bhí Cúram Nua-Aoise na hÉireann ar cheann de na tithe altranais in Éirinn ba thúisce a bhain úsáid as na meáin shóisialta mar uirlis bholscaireachta.
Bhí roinnt dúshlán le sárú ag Séamus, ach in ainneoin amanna crua, d’éirigh leis na deacrachtí sin a shárú agus d’oscail sé an dara teach altranais in 2023. Creideann infheisteoirí san fhis seirbhís den chéad scoth a mholadh i gcónaí i gCúram Nua-Aoise na hÉireann agus tá sé beartaithe acu roinnt tithe altranais slachtmhar eile a thairiscint i rith 2023. Thug Séamus a fhocal go leanann sé ag athbhreithniú a chuid pleananna chun cur leis na háiseanna ina dtithe altranais. Slacfaidh sé uaidh na sonraí a mbeidh ag baint le gach teach altranais. Slacfaidh Séamus uaidh bealaí freisin chun an bhuisnéis a chur chun cinn. Tá rún daingean aige Séamus gan brath ar an bpobal dá dheasca sin.
Tá forbairt tagtha ar thacar scileanna Séamuis le fiche bliain anuas. Tá a stíl bhainistíochta athraithe aige. Anois déanann Séamus údarás a tharmligean chuig an meánbhainistíocht sna tithe altranais. Anois bíonn cruinnithe rialta ag Séamus lena fhoireann meánbhainistíochta. Thug Séamus isteach scéim chruinnithe measúnaithe don fhoireann agus bíonn siad siar ar siúl go bliantúil. Aithnítear spriocanna do na fostaíthe ag na cruinnithe sin agus spreagtar an fhoireann chun údar imní atá acu a chur in iúl. Nuair a dhéanann sé sin, is féidir leat a bheith sásta go ndéantar gach rud.
Creideann Séamus go bhfuil dea-chaighdeán ag dul i bhfeidhm ar na seirbhísí ábhartha don tosaíocht faoi láthair, in ionad na meán sóisialta. Thug Séamus isteach scéim chuidithe d’fhostaithe atá ag iarraidh tuilleadh oideachais tríú leibhéal a fháil. Creideann Séamus má thugann sé aire dá fhoireann go dtabharfaidh siadsan cúram agus seirbhís ar leibhéal is airde dó na cónaitheoirí atá ag Cúram Nua-Aoise na hÉireann.

(A) Tabhair breac-chuntas ar na scileanna/tréithe fiontraíochta a thaispeáin uinéir Chúram Nua-Aoise na hÉireann Teo. Bíodh tagairt agat don téacs i do fhreagra.
(B) (i) Sainmhínigh an téarma conradh.
(ii) Déan plé ar na gnéithe riachtanacha de chonradh bailí atá ann maidir leis an gceannach talún a rinne Cúram Nua-Aoise na hÉireann Teo. Bíodh tagairt agat don téacs i do fhreagra.
(C) Déan measúnú ar an dóigh a bhfuil scileanna bainistíochta Shéamuis i ndiaidh cur leis an rath atá ar Chúram Nua-Aoise na hÉireann Teo. Bíodh tagairt agat don téacs i do fhreagra.","(B) (ii)

| Uas. Marc | Freagraí Féideartha |
| ----------- | ----------- |
| 10m (4+3+3) | Déan plé ar na gnéithe riachtanacha de chonradh bailí atá ann maidir leis an gceannach talún a rinne Cúram Nua-Aoise na hÉireann Teo. Bíodh tagairt agat don téacs i do fhreagra. |
| 7m(3+2+2) | **Tairiscint** Gealltanas ó dhuine a dhéanann an tairiscint go mbeidh sé nó sí faoi cheangal na tairisce ar choinníoll ó nglacfar le téarmaí na tairisceana. Is féidir tairiscint a dhéanamh ó bhéal, i scríbhinn, nó le hiompar agus léiríonn sé ar leitholtas an tairgeora comhaontú a dhéanamh faoi théarmaí sonraithe. |
| | 'Glacadh le tairiscint a rinne Séamus ar thalamh a cheannach taobh amuigh de Cheatharlach.' |
| | **Glacadh**Caithfidh an dara páirtí aontú le téarmaí na tairisceana mar atá sí. Caithfidh an glacadh a bheith soiléir, iomlán agus neamhchoinníollach. |
| | 'Glacadh le tairiscint a rinne Séamus ar thalamh a cheannach taobh amuigh de Cheatharlach.' |
| | **Comhaontú**Go mbeidh comhaontú ann, caithfidh tairiscint shoiléir, iomlán agus neamhchoinníollach a bheith ann agus go nglacfadh páirtí eile leis an tairiscint sin. |
| | 'Glacadh le tairiscint a rinne Séamus ar thalamh a cheannach taobh amuigh de Cheatharlach.' |
| | **Comaoine**Déanann sé seo tagairt do mhalairt luacha i gconradh. Caithfidh gach páirtí i gconradh rud éigin luachmhar a thabhairt don páirtí eile. |
| | Fad is a bheidh breithniú ann, ní cheisteoidh cúirt dlí a leordhóthanacht, ar choinníoll go bhfuil luach éigin ag baint léi. Dé aráinth is í lo chta aid aocha ta, coach d’fhach dfadh fa so bhro ath a bhroo ath ar chotha. |
| | 'Aistríodh an táille a bhí aontaithe agus fuair gach páirtí gníomhais úinéireachta.' |
| | **Dlíthiúlacht foirme**Ní mór don dlí isteach sa chonradh a chumadh mar a chéile leis an bhfocal is gá do na daoine. Mura bhfuil aon rogha ann, ní bheidh maoin toiliú ann. Caithfidh an toiliú a bheith macánta agus deonach. |
| | 'Fuar sé na caipéisí dlí ó dhlíodóir an díoltóra.' |
| | **Rún Conraithe**Ní mór don dá pháirtí i gconradh a bheith ar eolas agus go bhfuil siad isteach ar chomaontú atá ina cheangal de réir d’fheadhadh dlí amheilceil siad sírd le théarinn ortru a thoa bh aonmheilceil siad sírd le théarinn ortru a thoa bh chonnaachtli. chonnaachtli. chonnaachtli. |
| | 'Bhfuail Séamus lena chuid dlíodóirí chun an conradh a shíniú.' |
| | **Dlíthiúlacht Cuspóra**Caithfidh rún an chontaeartha na dlíthe seirbhís den chéad scoth a mholadh i gCúram Nua-Aoise na hÉireann agus tá pleananna réitithe tríú tait altranais.' |"
"Ceist Éigeantach í seo a bhfuil 80 marc ag gabháil léi agus í bunaithe ar na hAonaid 1, 2 agus 3.
Cúram Nua-Aoise na hÉireann Teo.
Is gnólacht a reáchtálann tithe altranais é Cúram Nua-Aoise na hÉireann Teo. a bunaíodh Séamus Ó Brolacháin in 2002. Bhí Séamus ag obair in earnáil na tionsclaíochta agus ag tabhairt aire dá chuid tuismitheoirí aosta nuair a chonaic sé deis teach altranais a oscailt in oirdheisceart na hÉireann.
I dtús báire, dhíoltaigh an banc iasacht ghné a thabhairt dó chun a ghnólacht a bhunú. D’fhorbair Séamus plean gnó feabhsaithe agus fuair sé airgeadas trí chuideachta caipitil fiontair. D’éirigh Séamus as a phost sa tionsclaíocht chun oibriúchán an ghnólachta a bhainistiú. Bhí Séamus ag iarraidh go mbeadh seirbhís ar ardchaighdeán á cur ar fáil ag an ngnólacht agus thuig sé go gcaithfeadh sé togha na foirne a earcú chun é sin a bhaint amach. Rinne Séamus cinneadh fostaíthe a mhealladh trí thuarastal níos airde ná a chuid iomaitheoirí a thairiscint. Bhí Cúram Nua-Aoise na hÉireann ar cheann de na tithe altranais in Éirinn ba thúisce a bhain úsáid as na meáin shóisialta mar uirlis bholscaireachta.
Bhí roinnt dúshlán le sárú ag Séamus, ach in ainneoin amanna crua, d’éirigh leis na deacrachtí sin a shárú agus d’oscail sé an dara teach altranais in 2023. Creideann infheisteoirí san fhis seirbhís den chéad scoth a mholadh i gcónaí i gCúram Nua-Aoise na hÉireann agus tá sé beartaithe acu roinnt tithe altranais slachtmhar eile a thairiscint i rith 2023. Thug Séamus a fhocal go leanann sé ag athbhreithniú a chuid pleananna chun cur leis na háiseanna ina dtithe altranais. Slacfaidh sé uaidh na sonraí a mbeidh ag baint le gach teach altranais. Slacfaidh Séamus uaidh bealaí freisin chun an bhuisnéis a chur chun cinn. Tá rún daingean aige Séamus gan brath ar an bpobal dá dheasca sin.
Tá forbairt tagtha ar thacar scileanna Séamuis le fiche bliain anuas. Tá a stíl bhainistíochta athraithe aige. Anois déanann Séamus údarás a tharmligean chuig an meánbhainistíocht sna tithe altranais. Anois bíonn cruinnithe rialta ag Séamus lena fhoireann meánbhainistíochta. Thug Séamus isteach scéim chruinnithe measúnaithe don fhoireann agus bíonn siad siar ar siúl go bliantúil. Aithnítear spriocanna do na fostaíthe ag na cruinnithe sin agus spreagtar an fhoireann chun údar imní atá acu a chur in iúl. Nuair a dhéanann sé sin, is féidir leat a bheith sásta go ndéantar gach rud.
Creideann Séamus go bhfuil dea-chaighdeán ag dul i bhfeidhm ar na seirbhísí ábhartha don tosaíocht faoi láthair, in ionad na meán sóisialta. Thug Séamus isteach scéim chuidithe d’fhostaithe atá ag iarraidh tuilleadh oideachais tríú leibhéal a fháil. Creideann Séamus má thugann sé aire dá fhoireann go dtabharfaidh siadsan cúram agus seirbhís ar leibhéal is airde dó na cónaitheoirí atá ag Cúram Nua-Aoise na hÉireann.

(A) Tabhair breac-chuntas ar na scileanna/tréithe fiontraíochta a thaispeáin uinéir Chúram Nua-Aoise na hÉireann Teo. Bíodh tagairt agat don téacs i do fhreagra.
(B) (i) Sainmhínigh an téarma conradh.
(ii) Déan plé ar na gnéithe riachtanacha de chonradh bailí atá ann maidir leis an gceannach talún a rinne Cúram Nua-Aoise na hÉireann Teo. Bíodh tagairt agat don téacs i do fhreagra.
(C) Déan measúnú ar an dóigh a bhfuil scileanna bainistíochta Shéamuis i ndiaidh cur leis an rath atá ar Chúram Nua-Aoise na hÉireann Teo. Bíodh tagairt agat don téacs i do fhreagra.","(C)

| Uas. Marc | Freagraí Féideartha |
| ----------- | ----------- |
| 3 @ 10m(4+3+2+1) | Déan measúnú ar an dóigh a bhfuil scileanna bainistíochta Shéamuis i ndiaidh cur leis an rath atá ar Chúram Nua-Aoise na hÉireann Teo. Bíodh tagairt agat don téacs i do fhreagra. |
| | **Ceannaireacht** Baineann ceannaireacht le tionchar a imirt ar dhaoine eile agus iad a spreagadh chun dul i dtreo áirithe. |
| | Is éard atá i gceist le ceannaireacht ná daoine a threorú agus oidiú leo lena gceann a n-"
"Léigh an t-eolas a thugtar agus freagair na ceisteanna a leannann é.

€3.4m á lorg ag forbróir tógála ó chonraitheoir theor mar gheall ar shárú conartha.","1 (A) (i) Mínigh an téarma ‘sárú conartha’.
Ciallaíonn sárú ar chonradh nuair a bhriseann páirtí amháin/i gconradh dlíthiúil coinníoll/mórchuid den chonradh.
Teipeann ar pháirtí amháin sa chonradh na coinníollacha nó mórchuid den chonradh a leanúint/cloí leis/leo/a choinneáil."
"Léigh an t-eolas a thugtar agus freagair na ceisteanna a leannann é.

€3.4m á lorg ag forbróir tógála ó chonraitheoir theor mar gheall ar shárú conartha.
Léirigh na réitigh atá ar fáil i gcás sárú conartha.","1 (A) (ii) Léirigh na réitigh atá ar fáil i gcás sárú conartha.
An dlí a chur le haghaidh Damáistí/Cúiteamh:
Is féidir leis an bpáirtí díobhálaithe dlí a chur ar an bpáirtí a sháraíonn conradh as aon chaillteanas a bhí ann mar gheall ar an sárú sin."
Déan cur síos ar thrí ghnó a bhaineann le Nós Imeachta na nÉileamh Beag chun coimhlint a réiteach.,"1 (B) (i) Déan cur síos ar thrí ghnó a bhaineann le Nós Imeachta na nÉileamh Beag chun coimhlint a réiteach.
Seirbhís is ea nós imeachta um éilimh bheaga do thomhaltóirí a bhfuil éileamh acu in éadan gnólachta mar gheall ar sheirbhís mhisheasmhúil.
Is féidir le gnólacht éileamh a dhéanamh in éadan gnólachta eile a bhaineann le hearraí nó seirbhísí a ceannaíodh. Ní bhaineann sé le sárúithe ar chomhaontuithe léasaithe nó fiacha/leachtú"
