problem,answer,problem_image_1,problem_image_2,answer_image_1,answer_image_2
Cad iad an dá theocht tagartha a úsáidtear chun scála teochta Kelvin a bhunú?,"tríphointí uisce / 273.16 K / 0.01℃
dearbhnialas / 0 K / -273.15℃",,,,
"Mínigh conas is féidir an graf ar dheis a úsáid chun luach dearbhnialas a mheas ar scála
Celsius.","an líne a leathnú go dtí go dtrasnaíonn sé an ais teochta /
léigh dearbhnialas ón idirnhí leis an ais teochta",,,,
"Socraítear trí fhriotóir, 2 Ω, 3 Ω agus 4 Ω i dtreocheangal. Ríomh an fhriotaíocht iomlán.","$\frac{1}{R} = \frac{1}{R_1} + \frac{1}{R_2} + \frac{1}{R_3} / \frac{1}{R} = \frac{6}{12} + \frac{4}{12} + \frac{3}{12} = \frac{13}{12}$
$R =\frac{12}{13}= 0.923(Ω)$",,,,
"Luaigh dhá airí de thoilleoir plataí comhthreomhara a chinneann an méid luchtaa is féidir a
stóráil ann.","achar (forlú) na bplataí / fad idir plátaí / treileictreach nó ábhar idir plataí
dhá cheann ar bith",,,,
Breac síos dlí Faraday maidir le hionduchtú leictreamaighnéadach.,"// E ionduchta\\ithe
tá sé i gcomhréir le ráta athraithe an fhlosca mhaighnéadaigh
// $E \propto \frac{dΦ}{dt}$",,,,
Tarraing an réimse maighnéadach a bhaineann le solanóidígh atá ac iompar srutha.,"línte ag dul trí lárphointe an tsolanóidigh agus ag lúbadh ó na pointí deiridh
léiritheaán treo
[níl na línte tríd an lárphointe (-1)]",,,,
"Comhleánn núicléas deoitéiriam agus núicléas trítiam le chéile chun núicléas héiliam agus
cáithnín X a fhoirmiú mar a léirionn an chothromóid:$_1^2H + _1^3H →_2^4He+X$. Sainaithin X.",n$^0$ / neodrón,,,,
Luaigh prionsabal imchoimeádta mais is fuinnimh.,"(In imoibrithe núicléacha) is ionann mais móide fuinneamh na n-imoibreoirí/ / E = mc$^2$
agus mais móide fuinneamh na dtáirgí
// nodaireacht",,,,
"Cad is brí le
   mais,",méid damhna i réad / tomhas ar an bhfriotaíocht in aghaidh gluaiseachta,,,,
"Cad is brí le
   luasghéarú?",ráta athraithe an treoluais/ $a = \frac{v-u}{t}$,,,,
Breac síos dara dlí gluaisne Newton.,"tá an ráta athraithe móimintím i gcomhréir leis
an bhfórsa atá ag gníomhú agus (a tharlaíonn) i dtreo an fhórsa // $F$ agus sa treo céanna
// $\frac{mv-mu}{t}$
[Ceadaigh F=ma ...4]",,,,
"Úsáid dara dlí gluaisne Newton le cothromóid a dhíorthú ina dtaispeántar an coibhneas idir
fórsa, mais agus luasghéarú.","$F = \frac{mv-mu}{t}$ / $F = m(\frac{v-u}{t})$
$F = m \cdot a$ / $F = kma$ / $F = ma$ i gcás $k = 1$ (sa chóras SI)",,,,
"Léirítear scairdínneall sa léaráid ar dheis. Gabhann aer de mhais 195 kg isteach ag X, téitear é agus fágann sé an t-inneall ag
Y ansin. Tagann méadú de 460 m s$^{-1}$ ar luas na haermhaise i 0.75 s agus í ag dul tríd an inneall.
Ríomh
   luasghéarú na haermhaise,","$a = \frac{460}{0.75} = 613.3ms^{-2}$
[gan aonad nó aonad mícheart (−1)]",,,,
"Léirítear scairdínneall sa léaráid ar dheis. Gabhann aer de mhais 195 kg isteach ag X, téitear é agus fágann sé an t-inneall ag
Y ansin. Tagann méadú de 460 m s$^{-1}$ ar luas na haermhaise i 0.75 s agus í ag dul tríd an inneall.
Ríomh
   an fórsa a fheidhmíonn an aermhais ar an inneall.","$F= (195)(613.3)=119600$ N(ar chlé)
[gan aonad nó aonad mícheart (−1)]",,,,
"Rinneadh turgnamh chun léiriú a dhéanamh ar an gcoibhneas idir luasghéarú a tralai nuair a
feidhmíodh fórsa F air. Bailíodh na sonraí a leanas. Cuireadh gach fórsa F i bhfeidhm ar an tralai, a
bhí ar fos i dtús ama agus tomhaiseadh an treoluas deiridh.
F (N)       0.50       0.75       1.00       1.25       1.50       2.00
v(ms$^{-2}$)   3.0        4.6        6.0        7.4        8.9        11.9
Tarraing graf, ar ghrafpháipéar, de luasghéarú in aghaidh fórsa.","aiseanna lipéadaithe
aiseanna tarraingthe le scálaí cuí
pointí breactha i gceart
an líne dhíreach is fearr oiriúint",,,,
"Rinneadh turgnamh chun léiriú a dhéanamh ar an gcoibhneas idir luasghéarú a tralai nuair a
feidhmíodh fórsa F air. Bailíodh na sonraí a leanas. Cuireadh gach fórsa F i bhfeidhm ar an tralai, a
bhí ar fos i dtús ama agus tomhaiseadh an treoluas deiridh.
F (N)       0.50       0.75       1.00       1.25       1.50       2.00
v(ms$^{-2}$)   3.0        4.6        6.0        7.4        8.9        11.9
Úsáid do ghraf chun ríomh a dhéanamh ar an mais a luasghéaraíodh.","Fána = $\frac{Y_2−Y_1}{X_2−X_1} = \frac{6−3}{1−0.5}$
mais= 0.17 kg",,,,
"Rinneadh turgnamh chun léiriú a dhéanamh ar an gcoibhneas idir luasghéarú a tralai nuair a
feidhmíodh fórsa F air. Bailíodh na sonraí a leanas. Cuireadh gach fórsa F i bhfeidhm ar an tralai, a
bhí ar fos i dtús ama agus tomhaiseadh an treoluas deiridh.
F (N)       0.50       0.75       1.00       1.25       1.50       2.00
v(ms$^{-2}$)   3.0        4.6        6.0        7.4        8.9        11.9
Bhí luasghéarú 3 m s$^{-2}$ faoin tralai ar feadh 1.9 s. Ríomh treoluas deiridh an tralai.","$v = u + at$
$v = 0 + (3)(1.9) = 5.7$ m s$^{-1}$
[gan aonad nó aonad mícheart (−1)]",,,,
"Rinneadh turgnamh chun léiriú a dhéanamh ar an gcoibhneas idir luasghéarú a tralai nuair a
feidhmíodh fórsa F air. Bailíodh na sonraí a leanas. Cuireadh gach fórsa F i bhfeidhm ar an tralai, a
bhí ar fos i dtús ama agus tomhaiseadh an treoluas deiridh.
F (N)       0.50       0.75       1.00       1.25       1.50       2.00
v(ms$^{-2}$)   3.0        4.6        6.0        7.4        8.9        11.9
Tarraing léaráid lipéadaithe den ghaireas a d'fhéadfá a úsáid chun an turgnamh seo a
dhéanamh.","tralai ar an gconair, conair chlaonta nó conair réidh gan frithchuimilt nó aerchonair
ceangailte le teaghrán thar úlóg le meáchain
amadóir téipe ticeála / geatai solais / braiteoir logála sonraí & ríomhaire",,,,
"Rinneadh turgnamh chun léiriú a dhéanamh ar an gcoibhneas idir luasghéarú a tralai nuair a
feidhmíodh fórsa F air. Bailíodh na sonraí a leanas. Cuireadh gach fórsa F i bhfeidhm ar an tralai, a
bhí ar fos i dtús ama agus tomhaiseadh an treoluas deiridh.
F (N)       0.50       0.75       1.00       1.25       1.50       2.00
v(ms$^{-2}$)   3.0        4.6        6.0        7.4        8.9        11.9
Luaigh réamhchúram amháin ba chóir a ghlacadh chun toradh cruinn a chinntiú.","bíonn an mhais iomlán seasmhach do gach triail / conair shnasaithe / conair chlaonta chun
frithchuimilt a chealú",,,,
Breac síos dlíthe frithchaiteamh an tsolais.,"tá an ga ionsaitheach, an gnáth-gha agus na gathanna frithchaite go léir sa phlána céanna
is ionann an uillinn ionsaithe agus an uillinn frithchaiteamh",,,,
"Le cabhair léaráide lipéadaithe, cuir síos ar thurgnamh chun an fad fócasach atá ag scáthán
cuasach a thomhas.","scáthán cuasach, pionna cuardaigh // scáthán cuasach, bosca gathanna, scáileán,
socrú
Aimsigh an íomhá agus pionna cuardaigh á úsáid agat // cuir an íomhá i bhfócas (géar) ar an
scáileán
tomhais achar an réada agus achar na híomhá",,,,
Conas is féidir ga cuaire an scátháin a aimsiú ó thorthaí an turgnaimh?,ga na cuaire = fad fócasach × 2,,,,
"Cuirtear frithne 30cm os comhair scáthán cuasach ag a bhfuil fad fócasach 40cm.
Ríomh
   fad na híomhá ón scáthán,","$\frac{1}{f} = \frac{1}{u} + \frac{1}{v}$ / $\frac{1}{40} = \frac{1}{30} + \frac{1}{v}$
$\frac{1}{v} = \frac{-1}{120}$
$v = 120$cm
[gan aonad nó aonad mícheart (-1)]",,,,
"Cuirtear frithne 30cm os comhair scáthán cuasach ag a bhfuil fad fócasach 40cm.
Ríomh
   airde na frithne, más é 18cm airde na híomhá a tháirgtear.","$m = \frac{v}{u}$ /m = $\frac{120}{30}$ =4
airde na frithne = $\frac{18}{4}$ = 4.5cm
[gan aonad nó aonad mícheart (-1)]",,,,
"Cuirtear frithne 30cm os comhair scáthán cuasach ag a bhfuil fad fócasach 40cm.
Luaigh trí airí de chuid na híomhá a tháirgtear.","tá an íomhá taobh thiar den scáileán /fíorúil /cearteasamhach /formhéadaithe
3 cinn ar bith[6 + 2 + 1]",,,,
"Táirgeann scáthán cuasach difriúil fíoríomhá a bhfuil formhéadú de 3 ann nuair a chuirtear an
fhrithne 30 cm os a chomhair.
Ríomh fad fócasach an scátháin seo.","$v = 90$ (cm)
$\frac{1}{f} = \frac{1}{u} + \frac{1}{v}$ /$\frac{1}{f} = \frac{1}{30} + \frac{1}{90}$ / = $\frac{4}{90}$
$f = 22.5$ cm",,,,
"Taispeántar sa léaráid thíos an foirmiú íomhánna ag leagan amach na lionsaí i micreascóp
comhshuite.
Mínigh cén fáth nach bhfuil an micreascóp seo i gcoigeartú normalach.",níl an íomhá deiridh ag an éigríoch,,,,
"Taispeántar sa léaráid thíos an foirmiú íomhánna ag leagan amach na lionsaí i micreascóp
comhshuite.
Ainmnigh na lionsaí L$_1$ agus L$_2$.","L$_1$ = réadlionsa
L$_2$ = súil-lionsa
[Ceadaigh inréimniú uair amháin ...3]",,,,
"Taispeántar sa léaráid thíos an foirmiú íomhánna ag leagan amach na lionsaí i micreascóp
comhshuite.
Cén chomparáid atá ann idir faid fhócasacha na lionsaí?",(tá achar fócasach) an tsúil-lionsa níos faide ná (achar fócasach) an réadlionsa,,,,
"Taispeántar sa léaráid thíos an foirmiú íomhánna ag leagan amach na lionsaí i micreascóp
comhshuite.
Má laghdaítear faid fhócasacha an dá lionsa, cén tionchar a bhíonn ar fhormhéadú na
híomhá deiridh?",(tá an íomhá deiridh) níos mó,,,,
"Féachann an teoiric chinéiteach le míniú a thabhairt ar theocht, ar bhrú agus ar airíonna eile gáis i
dtéarmaí gluaisne cháithníní an gháis.
Luaigh dhá fhoshuíomh de chuid na teoirice cinétí
   gcloíonn gach gás leo.","tá gás comhdhéanta de líon mór cáithníní beaga bídeacha / bíonn na cáithníní i
ngluaiseacht leanúnach (líne dhíreach thapa nó randamach) / imbhualteann na
cáithníní le chéile /imbhuaileann na cáithníní le ballaí an choimeádáin
2 cheann ar bith",,,,
"Féachann an teoiric chinéiteach le míniú a thabhairt ar theocht, ar bhrú agus ar airíonna eile gáis i
dtéarmaí gluaisne cháithníní an gháis.
Luaigh dhá fhoshuíomh de chuid na teoirice cinétí
   nach gcloíonn ach roinnt gás leo.","tá gach imbhuaileadh breá leaisteach / níl aon fhórsaí tarraingteacha nó éarthacha
(idir cáithníní ) / is é an t-achar idir na cáithníní mór i gcomparáid leis an méid de na
cáithníní / am a chaitear in imbhualadh beag i gcomparáid leis an am idir imbhuailtí
2 cheann ar bith",,,,
"Féachann an teoiric chinéiteach le míniú a thabhairt ar theocht, ar bhrú agus ar airíonna eile gáis i
dtéarmaí gluaisne cháithníní an gháis.
Cén téarma a úsáidtear le cur síos a dhéanamh ar
   an ngás a chloíonn le gach foshuíomh de chuid na teoirice seo,",gás idéalach,,,,
"Féachann an teoiric chinéiteach le míniú a thabhairt ar theocht, ar bhrú agus ar airíonna eile gáis i
dtéarmaí gluaisne cháithníní an gháis.
Cén téarma a úsáidtear le cur síos a dhéanamh ar
   ghás nach gcloíonn le gach foshuíomh de chuid na teoirice seo?",gás fíor,,,,
"Féachann an teoiric chinéiteach le míniú a thabhairt ar theocht, ar bhrú agus ar airíonna eile gáis i
dtéarmaí gluaisne cháithníní an gháis.
Cén chaoi a míníonn an teoiric chinéiteach an brú a fheidhmíonn gáis?","bíonn brú mar gheall ar imbhuailtí na gcáithníní le ballaí an choimeádáin /
gach uair a imbhuaileann cáithnín le balla cuireann sé fórsa nó brú ar an mballa",,,,
"Féachann an teoiric chinéiteach le míniú a thabhairt ar theocht, ar bhrú agus ar airíonna eile gáis i
dtéarmaí gluaisne cháithníní an gháis.
Conas a athraíonn brú gáis nuair a mhéadaítear luas cháithníní an gháis?
Cosain do fhreagra.",méadaítear an brú // de réir mar a bhuaileann na cáithníní na ballaí níos minice,,,,
"Féachann an teoiric chinéiteach le míniú a thabhairt ar theocht, ar bhrú agus ar airíonna eile gáis i
dtéarmaí gluaisne cháithníní an gháis.
Conas a athraíonn teocht gáis nuair a mhéadaítear luas cháithníní an gháis?
Cosain do fhreagra.","méadaítear an teocht // de réir mar a mhéadaítear meánfhuinneamh cinéiteach na
gcáithníní.",,,,
"Taispeántar sa ghraf thíos pV in aghaidh lίon na mόl de ghás n ag teocht thairiseach T, áit arb iad p
brú agus V toirt an gháis i gcoimeádán.
Bain úsáid as fána an ghraif chun an teocht thairiseach seo T a aimsiú.","$m =\frac{y_2−y_1}{x_2−x_1}$
$m = \frac{(9.95−5.1)×10^3}{4−2} =2.425 × 10^3$
$PV = nRT / T=\frac{PV}{nR}$
$T =\frac{slope}{R} = \frac{2.425×10^3}{8.31} = 292$ K",,,,
"Taispeántar sa ghraf thíos pV in aghaidh lίon na mόl de ghás n ag teocht thairiseach T, áit arb iad p
brú agus V toirt an gháis i gcoimeádán.
Cé mhéad mól den ghás a bheadh i láthair dá mbeadh brú 7 x 103 Pa agus toirt 0.2 m3 ann ag
teocht thairiseach T?","$PV= (7x10^3)(0.2)= 1400$        // $PV = nRT / (7x10^3)(0.2) = n(8.31)(292)$
úsáid an graf chun $n = 0.6$ (mhól) a fháil// $n = 0.6$ (mól)",,,,
"Taispeántar sa ghraf thíos pV in aghaidh lίon na mόl de ghás n ag teocht thairiseach T, áit arb iad p
brú agus V toirt an gháis i gcoimeádán.
Cad é an t-aonad tomhais don pV?",Pam$^3$ / Nm / J,,,,
"Taispeántar sa ghraf thíos pV in aghaidh lίon na mόl de ghás n ag teocht thairiseach T, áit arb iad p
brú agus V toirt an gháis i gcoimeádán.
Cén t-athrú a thiocfaidh ar theocht an gháis má choinnitear pV tairiseach agus má
mhéadaítear líon mól an gháis sa choimeádán? Cosain do fhreagra.","laghdaítear an teocht
(pV buan agus ) is tairiseach é R / Má mhéadaítear n laghdóar T ansin chun PV a choinneáil
buan",,,,
"Sainmhínigh
   friotaíocht leictreach,",cóimheas idir voltas agus sruth / $R = \frac{V}{I}$,,,,
"Sainmhínigh
   aonad na friotaíochta leitrí, i.e. an t-óm.","is ionann friotaíocht seoltóra agus 1 óm má shreabhann sruth 1 aimpéar tríd
nuair is ionann an difríocht phóitéinsil (idir a chríocha) agus 1 volta",,,,
Mol dhá airí a bhíonn ag corna sreinge a chinnfeadh méid na friotaíochta ann.,"trastomhas nó tiús nó achar / fad / cineál ábhair nó friotachas
2 cheann ar bith",,,,
"Taispeántar sa léaráid gaireas a úsáidtear chun an iarmhairt téimh atá ag sruth leictreach a fhiosrú.
Ligeadh do shruth / sreabhadh tríd an gcorna ar feadh méid sheasta ama agus taifeadadh an t-ardú sa
teocht Δθ. Athdéanadh é seo le haghaidh luachanna difriúla den sruth/.
Taifeadadh na sonraí seo a leanas:
I       1.0        2.0        2.5        3.0        3.5        4.0
Δθ (°C)    1.2        4.8        7.5        10.8       14.7       19.2
Tarraing graf, ar ghrafpháipéar, a thaispeánann an coibhneas idir I$^2$agusΔθ.","luachanna srutha cearnaithe
aiseanna lipéadaithe
scálaí tarraingthe i gceart
pointí breactha i gceart
líne dhíreach tríd an mbunphointe",,,,
"Taispeántar sa léaráid gaireas a úsáidtear chun an iarmhairt téimh atá ag sruth leictreach a fhiosrú.
Ligeadh do shruth / sreabhadh tríd an gcorna ar feadh méid sheasta ama agus taifeadadh an t-ardú sa
teocht Δθ. Athdéanadh é seo le haghaidh luachanna difriúla den sruth/.
Taifeadadh na sonraí seo a leanas:
I       1.0        2.0        2.5        3.0        3.5        4.0
Δθ (°C)    1.2        4.8        7.5        10.8       14.7       19.2
Uaidh sin, nó ar shlí eile, déan cur síos ar an gcoibhneas idir an t-athrú sa teocht agus an sruth.",Δθ ∝ I$^2$,,,,
"Taispeántar sa léaráid gaireas a úsáidtear chun an iarmhairt téimh atá ag sruth leictreach a fhiosrú.
Ligeadh do shruth / sreabhadh tríd an gcorna ar feadh méid sheasta ama agus taifeadadh an t-ardú sa
teocht Δθ. Athdéanadh é seo le haghaidh luachanna difriúla den sruth/.
Taifeadadh na sonraí seo a leanas:
I       1.0        2.0        2.5        3.0        3.5        4.0
Δθ (°C)    1.2        4.8        7.5        10.8       14.7       19.2
Cén fáth ar úsáideadh mais sheasta uisce le haghaidh gach luach den sruth?","bheadh tionchar ag mais an uisce atá i láthair ar ardú teochta / ní féidir ach dhá athrόg a
bheith ann / tástáil chothrom",,,,
"Taispeántar sa léaráid gaireas a úsáidtear chun an iarmhairt téimh atá ag sruth leictreach a fhiosrú.
Ligeadh do shruth / sreabhadh tríd an gcorna ar feadh méid sheasta ama agus taifeadadh an t-ardú sa
teocht Δθ. Athdéanadh é seo le haghaidh luachanna difriúla den sruth/.
Taifeadadh na sonraí seo a leanas:
I       1.0        2.0        2.5        3.0        3.5        4.0
Δθ (°C)    1.2        4.8        7.5        10.8       14.7       19.2
Mol ábhar a d'fhéadfaí a úsáid mar insliu.",olann chadáis /polaistitéin srl,,,,
"Taispeántar sa léaráid gaireas a úsáidtear chun an iarmhairt téimh atá ag sruth leictreach a fhiosrú.
Ligeadh do shruth / sreabhadh tríd an gcorna ar feadh méid sheasta ama agus taifeadadh an t-ardú sa
teocht Δθ. Athdéanadh é seo le haghaidh luachanna difriúla den sruth/.
Taifeadadh na sonraí seo a leanas:
I       1.0        2.0        2.5        3.0        3.5        4.0
Δθ (°C)    1.2        4.8        7.5        10.8       14.7       19.2
Luaigh bealach amháin eile, seachas insliu, chun caillteanas teasa a laghdú.",úsáid clúdach / coinnigh teocht seomra atá gar don teocht tosaigh,,,,
"Taispeántar sa léaráid gaireas a úsáidtear chun an iarmhairt téimh atá ag sruth leictreach a fhiosrú.
Ligeadh do shruth / sreabhadh tríd an gcorna ar feadh méid sheasta ama agus taifeadadh an t-ardú sa
teocht Δθ. Athdéanadh é seo le haghaidh luachanna difriúla den sruth/.
Taifeadadh na sonraí seo a leanas:
I       1.0        2.0        2.5        3.0        3.5        4.0
Δθ (°C)    1.2        4.8        7.5        10.8       14.7       19.2
Cén fheidhm atá ag X?",athraíonn agus coinníonn sé an tairiseach reatha,,,,
"Taispeántar sa léaráid gaireas a úsáidtear chun an iarmhairt téimh atá ag sruth leictreach a fhiosrú.
Ligeadh do shruth / sreabhadh tríd an gcorna ar feadh méid sheasta ama agus taifeadadh an t-ardú sa
teocht Δθ. Athdéanadh é seo le haghaidh luachanna difriúla den sruth/.
Taifeadadh na sonraí seo a leanas:
I       1.0        2.0        2.5        3.0        3.5        4.0
Δθ (°C)    1.2        4.8        7.5        10.8       14.7       19.2
Úsáid do ghraf chun méid an tsrutha atá ag sreabhadh a aimsiú nuair is é 6 °C an t-ardú sa
teocht.","Léirítear an líne ó 6 °C ar an ais teochta
I$^2$= 5 => I = √5 = 2.2 A
[gan aonad nó aonad mícheart (−1)]",,,,
"Sa léaráid taispeántar claochladán a bhfuil 9200 lúb ina chorna príomhúil. Tá an corna príomhúil
ceangailte le soláthar príomhlíonra 230V. Tá lampa 6.0V ceangailte le corna tánaisteach ag feidhmiú
ar lánsoilseacht.
Luaigh airí amháin a bhaineann le croíleacán an chlaochladáin a chabhraíonn lena
éifeachtúlacht a fheabhsú.",iarnaithe / déanta as iarann bog,,,,
"Sa léaráid taispeántar claochladán a bhfuil 9200 lúb ina chorna príomhúil. Tá an corna príomhúil
ceangailte le soláthar príomhlíonra 230V. Tá lampa 6.0V ceangailte le corna tánaisteach ag feidhmiú
ar lánsoilseacht.
Glac leis go bhfuil an claochladán ag feidhmiú ag éifeachtúlacht 100%.
Ríomh
   líon na lúb sa chorna tánaisteach,","$\frac{N_p}{N_s} = \frac{V_p}{V_s}$
$\frac{9200}{N_s} = \frac{230}{6}$
$N_s = 240$ casadh",,,,
"Sa léaráid taispeántar claochladán a bhfuil 9200 lúb ina chorna príomhúil. Tá an corna príomhúil
ceangailte le soláthar príomhlíonra 230V. Tá lampa 6.0V ceangailte le corna tánaisteach ag feidhmiú
ar lánsoilseacht.
Glac leis go bhfuil an claochladán ag feidhmiú ag éifeachtúlacht 100%.
Ríomh
   an sruth sa chiorcad príomhúil más é 0.23A an sruth atá sa lampa.","$V_pI_p = V_sI_s$
230 ×I = 6 × 0.23 =>I$_p$ = 0.006 A",,,,
"Díritear ga solais AB ar lár an imill chothroim i mbloc leathchiorclach trédhearcach. Taispeántar sa
léaráid thíos conair an gha tríd an mbloc agus an ga CD ag teacht amach as.
Luaigh an fáth nach dtagann athrú ar threo an gha CD agus é ag teacht amach as an mbloc.","Tá CD ingearach le dromchla an bhloic / buaileann CD an dromchla de ghnáth / bíonn sé i
gcomhthráth le ga (an bhloic leathchiorclach) // is ionann an uillinn ionsaithe agus nialas",,,,
"Díritear ga solais AB ar lár an imill chothroim i mbloc leathchiorclach trédhearcach. Taispeántar sa
léaráid thíos conair an gha tríd an mbloc agus an ga CD ag teacht amach as.
Agus an ga ag dul isteach sa bhloc, faigh
   an uillinn ionsaithe,",90° − 24° = 66°,,,,
"Díritear ga solais AB ar lár an imill chothroim i mbloc leathchiorclach trédhearcach. Taispeántar sa
léaráid thíos conair an gha tríd an mbloc agus an ga CD ag teacht amach as.
Agus an ga ag dul isteach sa bhloc, faigh
   an uillinn athraonta.",90° − 50° = 40°,,,,
"Díritear ga solais AB ar lár an imill chothroim i mbloc leathchiorclach trédhearcach. Taispeántar sa
léaráid thíos conair an gha tríd an mbloc agus an ga CD ag teacht amach as.
Ainmnigh agus breac síos an dlí a léiríonn an coibhneas idir an dá uillinn.","Dlí Snell
tá síneas na huillinne ionsaithe i gcomhréir le     // $\frac{\sin i}{\sin r}$
síneas na huillinne athraonta                           // = tairiseach",,,,
"Díritear ga solais AB ar lár an imill chothroim i mbloc leathchiorclach trédhearcach. Taispeántar sa
léaráid thíos conair an gha tríd an mbloc agus an ga CD ag teacht amach as.
Ríomh comhéifeacht athraonta an bhloic.","$n = \frac{\sin 66}{\sin 40}$
$n = 1.42$",,,,
"Díritear ga solais AB ar lár an imill chothroim i mbloc leathchiorclach trédhearcach. Taispeántar sa
léaráid thíos conair an gha tríd an mbloc agus an ga CD ag teacht amach as.
Méadaítear an uillinn idir AB agus an bloc. Cén tionchar a bhíonn ar mhéid na huillinne
athraonta? Cosain do fhreagra.","laghdaítear an uillinn athraonta
laghdaíodh an uillinn ionsaithe",,,,
"Díritear ga solais AB ar lár an imill chothroim i mbloc leathchiorclach trédhearcach. Taispeántar sa
léaráid thíos conair an gha tríd an mbloc agus an ga CD ag teacht amach as.
Aimsigh uillinn chriticiúil an bhloic.","$n = \frac{1}{\sin c}$
=1.42 =>C = 44.8°",,,,
"Léirítear sa léaráid an réimse leictreach timpeall ar dhá sféar chomhiomanna A agus B a dtugtar
cainníochtaí difriúla luchta dóibh.
Cén cineál luchta atá ar sféar A?",lucht deimhneach,,,,
"Léirítear sa léaráid an réimse leictreach timpeall ar dhá sféar chomhiomanna A agus B a dtugtar
cainníochtaí difriúla luchta dóibh.
Cé acu sféar ar a bhfuil an lucht is mó? Cosain do fhreagra.",sféar B // mar go bhfuil níos mó treolínte fórsa ann,,,,
"Léirítear sa léaráid an réimse leictreach timpeall ar dhá sféar chomhiomanna A agus B a dtugtar
cainníochtaí difriúla luchta dóibh.
Cuimlítear éadach de shlat phlaisteach a dtagann lucht diúltach uirthi. Coinnítear an tslat ansin gar
do liathróid mhiotail neodrach atá ar crochadh ó shnáithe niolóin.
Aomtar an liathróid mhiotail i dtreo na slaite. Mínigh an fáth a dtarlaíonn sé seo.","meallann (lucht diúltach slaite)                    // éarann (lucht diúltach slaite)
luchtanna deimhneacha ar thaobh na liathróide (is gaire dó) // luchtanna diúltacha ar
thaobh
na liathróide                                                                       (is faide uaidh)
[léaráid lipéadaithe i gceart a thaispeánann luchtanna deimhneacha ar thaobh na liathróide
is gaire don slat                                                                        ...(9)]",,,,
"Léirítear sa léaráid an réimse leictreach timpeall ar dhá sféar chomhiomanna A agus B a dtugtar
cainníochtaí difriúla luchta dóibh.
Cuimlítear éadach de shlat phlaisteach a dtagann lucht diúltach uirthi. Coinnítear an tslat ansin gar
do liathróid mhiotail neodrach atá ar crochadh ó shnáithe niolóin.
Luchtaítear an slat go deimhneach ansin. Mínigh an fáth a n-aomfaí an liathróid neodrach fós i
dtreo na slaite.","éarann an slat atá luchtaithe go deimhneach luchtanna deimhneacha ar an liathróid
agus luchtanna diúltacha á bhfágáil gar don slat",,,,
