"problem","image_problem","answer","image_answer"
"A student carried out an experiment to determine the concentration of ethanoic acid in vinegar. A 10.0 $\text{cm}^3$ portion of the vinegar was first diluted to exactly 50.0 $\text{cm}^3$. The diluted vinegar solution was titrated against a 0.09 M sodium hydroxide solution in a conical flask. On average, 12.4 $\text{cm}^3$ of the diluted vinegar were required to neutralise 25.0 $\text{cm}^3$ of the NaOH solution. The titration reaction is described by the following balanced chemical equation:
$CH_3COOH + NaOH \rightarrow CH_3COONa + H_2O$
(iv) Calculate the concentration of ethanoic acid in the original vinegar in % (w/v).","","$M_r = 60$ / $\frac{0.91 \times 60}{10} = 5.44 (\%)$",""
"A student carried out an experiment to purify benzoic acid by recrystallisation, using water as the solvent.
Explain why water is a suitable solvent for carrying out this recrystallisation.","","(benzoic acid has) low solubility in cold water / 
(benzoic acid has) high solubility in hot water",""
"A student carried out an experiment to purify benzoic acid by recrystallisation, using water as the solvent.
Explain the purpose of the first (hot) filtration.","","to remove insoluble impurities",""
"A student carried out an experiment to purify benzoic acid by recrystallisation, using water as the solvent.
Fluted filter paper in a warm funnel, as shown on the right, is used in the hot filtration. Explain why this arrangement is suitable for hot filtration.","","increased surface area / faster filtration / keeps solution warm / 
avoids benzoic acid coming out of solution / increases yield",""
"A student carried out an experiment to purify benzoic acid by recrystallisation, using water as the solvent.
Explain why the second filtration is only carried out after a sufficient period of cooling.","","to maximise the yield / to allow crystallisation",""
"A student carried out an experiment to purify benzoic acid by recrystallisation, using water as the solvent.
What observation would the student make that shows that the recrystallised benzoic acid was pure?","","melting point
over a narrow range / sharp / close to correct value",""
"A second student carried out a test to show that ethanal is easily oxidised. 
Identify the reagent(s) which the student could have used. ","","acidified KMnO4 (solution) // Fehling’s (A and B) // Tollen’s (reagent)",""
"A second student carried out a test to show that ethanal is easily oxidised. 
State the colour change observed for the reagent(s) you have identified.","","pink/purple // blue // colourless
to colourless // to red // to silver",""
"A second student carried out a test to show that ethanal is easily oxidised. 
Identify the organic substance produced in this test.","","ethanoic acid",""
"A second student carried out a test to show that ethanal is easily oxidised. 
Write a half equation for the reduction of the inorganic reagent used in this test.","","$\text{Mn}^{7+} \rightarrow \text{Mn}^{2+}$
$\text{Cu}^{2+} \rightarrow \text{Cu}^{+}$
$\text{Ag}^{+} \rightarrow \text{Ag}$",""
"A third student prepared soap in the laboratory. 
Identify the reactants used in the preparation of soap.","","fat / lard / oil / triglyceride / e.g. glyceryl tristearate / stearin / tristearin sodium hydroxide / potassium hydroxide",""
"A third student prepared soap in the laboratory. 
Identify the solvent used in the preparation of soap.","","ethanol",""
"A third student prepared soap in the laboratory. 
Name the co-product formed when soap is prepared in this way. Draw the molecular structure of this co-product, including all atoms and bonds.","","propan-1,2,3-triol / glycerol","images/chemistry/answer/2c_iii.png"
"The reaction of sodium thiosulfate with hydrochloric acid is described by the following balanced chemical equation: $Na_2S_2O_3 + 2HCl \rightarrow 2NaCl + SO_2 + S + H_2O$
To Investigate the effect of concentration on the rate of this reaction, the experiment was carried out for a number of different concentrations of sodium thiosulfate solution. For each run, a stopwatch was started when 100 $\text{cm}^3$ of $Na_2S_2O_3$ was mixed with 10 $\text{cm}^3$ of 1M HCl. For each run, the reaction was carried out at room temperature, and the time taken for the same mass of sulfur to precipitate was measured. The inverse of that time was taken as a measure of the initial rate of reaction.
The results are shown in the table below.
|Concentration of $Na_2S_2O_3$ (M)| 0.10 | 0.09 | 0.08 | 0.07 | 0.06 | 0.05 | 0.04 | 0.03 |
|---|---|---|---|---|---|---|---|---|
|Time (s)| 50 | 56 | 63 | 72 | 84 | 100 | 125 | 168 |
|Rate = $\frac{1}{Time} (s^{-1})$| 0.020 | 0.018 |  |  |  |  |  |  |

(i) Describe a method that could be used to know when the same mass of sulfur had been precipitated in each run.","","X placed under flask time (measured until) X not visible /  light-meter (time measured until) same value",""
"The reaction of sodium thiosulfate with hydrochloric acid is described by the following balanced chemical equation: $Na_2S_2O_3 + 2HCl \rightarrow 2NaCl + SO_2 + S + H_2O$
To Investigate the effect of concentration on the rate of this reaction, the experiment was carried out for a number of different concentrations of sodium thiosulfate solution. For each run, a stopwatch was started when 100 $\text{cm}^3$ of $Na_2S_2O_3$ was mixed with 10 $\text{cm}^3$ of 1M HCl. For each run, the reaction was carried out at room temperature, and the time taken for the same mass of sulfur to precipitate was measured. The inverse of that time was taken as a measure of the initial rate of reaction.
The results are shown in the table below.
|Concentration of $Na_2S_2O_3$ (M)| 0.10 | 0.09 | 0.08 | 0.07 | 0.06 | 0.05 | 0.04 | 0.03 |
|---|---|---|---|---|---|---|---|---|
|Time (s)| 50 | 56 | 63 | 72 | 84 | 100 | 125 | 168 |
|Rate = $\frac{1}{Time} (s^{-1})$| 0.020 | 0.018 |  |  |  |  |  |  |

(ii) Describe how a 0.10 M solution of $Na_2S_2O_3$ could be used to prepare a 100 $\text{cm}^3$ portion of 0.09 M $Na_2S_2O_3$ solution.","","90 $\text{cm}^3$ of (0.10 M) solution made up (to 100 $\text{cm}^3$) with water",""
"The reaction of sodium thiosulfate with hydrochloric acid is described by the following balanced chemical equation: $Na_2S_2O_3 + 2HCl \rightarrow 2NaCl + SO_2 + S + H_2O$
To Investigate the effect of concentration on the rate of this reaction, the experiment was carried out for a number of different concentrations of sodium thiosulfate solution. For each run, a stopwatch was started when 100 $\text{cm}^3$ of $Na_2S_2O_3$ was mixed with 10 $\text{cm}^3$ of 1M HCl. For each run, the reaction was carried out at room temperature, and the time taken for the same mass of sulfur to precipitate was measured. The inverse of that time was taken as a measure of the initial rate of reaction.
The results are shown in the table below.
|Concentration of $Na_2S_2O_3$ (M)| 0.10 | 0.09 | 0.08 | 0.07 | 0.06 | 0.05 | 0.04 | 0.03 |
|---|---|---|---|---|---|---|---|---|
|Time (s)| 50 | 56 | 63 | 72 | 84 | 100 | 125 | 168 |
|Rate = $\frac{1}{Time} (s^{-1})$| 0.020 | 0.018 |  |  |  |  |  |  |

(i) Copy and complete the third row of the table into your answerbook by filling in the missing rate values, correct to three decimal places.","","0.016, 0.014, 0.012, 0.010, 0.008, 0.006",""
"The reaction of sodium thiosulfate with hydrochloric acid is described by the following balanced chemical equation: $Na_2S_2O_3 + 2HCl \rightarrow 2NaCl + SO_2 + S + H_2O$
To Investigate the effect of concentration on the rate of this reaction, the experiment was carried out for a number of different concentrations of sodium thiosulfate solution. For each run, a stopwatch was started when 100 $\text{cm}^3$ of $Na_2S_2O_3$ was mixed with 10 $\text{cm}^3$ of 1M HCl. For each run, the reaction was carried out at room temperature, and the time taken for the same mass of sulfur to precipitate was measured. The inverse of that time was taken as a measure of the initial rate of reaction.
The results are shown in the table below.
|Concentration of $Na_2S_2O_3$ (M)| 0.10 | 0.09 | 0.08 | 0.07 | 0.06 | 0.05 | 0.04 | 0.03 |
|---|---|---|---|---|---|---|---|---|
|Time (s)| 50 | 56 | 63 | 72 | 84 | 100 | 125 | 168 |
|Rate = $\frac{1}{Time} (s^{-1})$| 0.020 | 0.018 |  |  |  |  |  |  |

Draw a graph on graph paper to show how the rate of the reaction varies with the concentration of sodium thiosulfate solution","","axes labelled, points plotted, line of best fit","images/chemistry/answer/3b_ii.png"
"The reaction of sodium thiosulfate with hydrochloric acid is described by the following balanced chemical equation: $Na_2S_2O_3 + 2HCl \rightarrow 2NaCl + SO_2 + S + H_2O$
To Investigate the effect of concentration on the rate of this reaction, the experiment was carried out for a number of different concentrations of sodium thiosulfate solution. For each run, a stopwatch was started when 100 $\text{cm}^3$ of $Na_2S_2O_3$ was mixed with 10 $\text{cm}^3$ of 1M HCl. For each run, the reaction was carried out at room temperature, and the time taken for the same mass of sulfur to precipitate was measured. The inverse of that time was taken as a measure of the initial rate of reaction.
The results are shown in the table below.
|Concentration of $Na_2S_2O_3$ (M)| 0.10 | 0.09 | 0.08 | 0.07 | 0.06 | 0.05 | 0.04 | 0.03 |
|---|---|---|---|---|---|---|---|---|
|Time (s)| 50 | 56 | 63 | 72 | 84 | 100 | 125 | 168 |
|Rate = $\frac{1}{Time} (s^{-1})$| 0.020 | 0.018 |  |  |  |  |  |  |

What can be concluded from your graph?","","rate proportional to concentration / time inversely proportional to concentration ",""
"The reaction of sodium thiosulfate with hydrochloric acid is described by the following balanced chemical equation: $Na_2S_2O_3 + 2HCl \rightarrow 2NaCl + SO_2 + S + H_2O$
To Investigate the effect of concentration on the rate of this reaction, the experiment was carried out for a number of different concentrations of sodium thiosulfate solution. For each run, a stopwatch was started when 100 $\text{cm}^3$ of $Na_2S_2O_3$ was mixed with 10 $\text{cm}^3$ of 1M HCl. For each run, the reaction was carried out at room temperature, and the time taken for the same mass of sulfur to precipitate was measured. The inverse of that time was taken as a measure of the initial rate of reaction.
The results are shown in the table below.
|Concentration of $Na_2S_2O_3$ (M)| 0.10 | 0.09 | 0.08 | 0.07 | 0.06 | 0.05 | 0.04 | 0.03 |
|---|---|---|---|---|---|---|---|---|
|Time (s)| 50 | 56 | 63 | 72 | 84 | 100 | 125 | 168 |
|Rate = $\frac{1}{Time} (s^{-1})$| 0.020 | 0.018 |  |  |  |  |  |  |

Use your graph to estimate the rate of reaction if 100 cm3 of 0.015 M Na2S2O3 solution had been used.","","rate proportional to concentration / time inversely proportional to concentration ",""
"The reaction of sodium thiosulfate with hydrochloric acid is described by the following balanced chemical equation: $Na_2S_2O_3 + 2HCl \rightarrow 2NaCl + SO_2 + S + H_2O$
To Investigate the effect of concentration on the rate of this reaction, the experiment was carried out for a number of different concentrations of sodium thiosulfate solution. For each run, a stopwatch was started when 100 $\text{cm}^3$ of $Na_2S_2O_3$ was mixed with 10 $\text{cm}^3$ of 1M HCl. For each run, the reaction was carried out at room temperature, and the time taken for the same mass of sulfur to precipitate was measured. The inverse of that time was taken as a measure of the initial rate of reaction.
The results are shown in the table below.
|Concentration of $Na_2S_2O_3$ (M)| 0.10 | 0.09 | 0.08 | 0.07 | 0.06 | 0.05 | 0.04 | 0.03 |
|---|---|---|---|---|---|---|---|---|
|Time (s)| 50 | 56 | 63 | 72 | 84 | 100 | 125 | 168 |
|Rate = $\frac{1}{Time} (s^{-1})$| 0.020 | 0.018 |  |  |  |  |  |  |

Use your graph to estimate the rate of reaction if 100 cm3 of 0.015 M Na2S2O3 solution had been used.","","$\approx 0.003 \, (\text{s}^{-1})$",""
"The reaction of sodium thiosulfate with hydrochloric acid is described by the following balanced chemical equation: $Na_2S_2O_3 + 2HCl \rightarrow 2NaCl + SO_2 + S + H_2O$
To Investigate the effect of concentration on the rate of this reaction, the experiment was carried out for a number of different concentrations of sodium thiosulfate solution. For each run, a stopwatch was started when 100 $\text{cm}^3$ of $Na_2S_2O_3$ was mixed with 10 $\text{cm}^3$ of 1M HCl. For each run, the reaction was carried out at room temperature, and the time taken for the same mass of sulfur to precipitate was measured. The inverse of that time was taken as a measure of the initial rate of reaction.
The results are shown in the table below.
|Concentration of $Na_2S_2O_3$ (M)| 0.10 | 0.09 | 0.08 | 0.07 | 0.06 | 0.05 | 0.04 | 0.03 |
|---|---|---|---|---|---|---|---|---|
|Time (s)| 50 | 56 | 63 | 72 | 84 | 100 | 125 | 168 |
|Rate = $\frac{1}{Time} (s^{-1})$| 0.020 | 0.018 |  |  |  |  |  |  |

Calculate the time taken for the sulfur to precipitate in this case.","","$\frac{1}{0.003} = 333 \, (\text{s})$",""
"The reaction of sodium thiosulfate with hydrochloric acid is described by the following balanced chemical equation: $Na_2S_2O_3 + 2HCl \rightarrow 2NaCl + SO_2 + S + H_2O$
To Investigate the effect of concentration on the rate of this reaction, the experiment was carried out for a number of different concentrations of sodium thiosulfate solution. For each run, a stopwatch was started when 100 $\text{cm}^3$ of $Na_2S_2O_3$ was mixed with 10 $\text{cm}^3$ of 1M HCl. For each run, the reaction was carried out at room temperature, and the time taken for the same mass of sulfur to precipitate was measured. The inverse of that time was taken as a measure of the initial rate of reaction.
The results are shown in the table below.
|Concentration of $Na_2S_2O_3$ (M)| 0.10 | 0.09 | 0.08 | 0.07 | 0.06 | 0.05 | 0.04 | 0.03 |
|---|---|---|---|---|---|---|---|---|
|Time (s)| 50 | 56 | 63 | 72 | 84 | 100 | 125 | 168 |
|Rate = $\frac{1}{Time} (s^{-1})$| 0.020 | 0.018 |  |  |  |  |  |  |

To investigate the effect of temperature on the rate of this reaction, the time taken for the same mass of sulfur to precipitate was measured at three different temperatures, using fixed volumes and concentrations of the reactants. The results are shown in the table below.
|Temperature (°C)| T₁ | T₂ | T₃ |
|---|---|---|---|
|Time (s)| 40 | 10 | 25 |

Describe a suitable method for heating the reactants and measuring the reaction temperature.  A labelled diagram may help your answer.","","heat source / water bath / hotplate / Bunsen burner
thermometer",""
"The reaction of sodium thiosulfate with hydrochloric acid is described by the following balanced chemical equation: $Na_2S_2O_3 + 2HCl \rightarrow 2NaCl + SO_2 + S + H_2O$
To Investigate the effect of concentration on the rate of this reaction, the experiment was carried out for a number of different concentrations of sodium thiosulfate solution. For each run, a stopwatch was started when 100 $\text{cm}^3$ of $Na_2S_2O_3$ was mixed with 10 $\text{cm}^3$ of 1M HCl. For each run, the reaction was carried out at room temperature, and the time taken for the same mass of sulfur to precipitate was measured. The inverse of that time was taken as a measure of the initial rate of reaction.
The results are shown in the table below.
|Concentration of $Na_2S_2O_3$ (M)| 0.10 | 0.09 | 0.08 | 0.07 | 0.06 | 0.05 | 0.04 | 0.03 |
|---|---|---|---|---|---|---|---|---|
|Time (s)| 50 | 56 | 63 | 72 | 84 | 100 | 125 | 168 |
|Rate = $\frac{1}{Time} (s^{-1})$| 0.020 | 0.018 |  |  |  |  |  |  |

To investigate the effect of temperature on the rate of this reaction, the time taken for the same mass of sulfur to precipitate was measured at three different temperatures, using fixed volumes and concentrations of the reactants. The results are shown in the table below.
|Temperature (°C)| T₁ | T₂ | T₃ |
|---|---|---|---|
|Time (s)| 40 | 10 | 25 |

Which temperature (T1, T2 or T3) was the highest?  Justify your answer.","","T2 greatest rate / least time",""
"How many (i) protons, (ii) neutrons, are there in a nucleus of helium–3?","","(i) 2 (ii) 1 ",""
"Identify two reagents needed to test for the presence of phosphate ions in aqueous solution.","","ammonium molybdate, nitric acid",""
"State two reasons why real gases deviate from ideal behaviour.","","particles have volume / intermolecular forces / collisions not elastic [any two]",""
"The diagram on the right shows two identical flasks, one filled with helium gas and the other filled with oxygen gas.  The flasks are kept at the same temperature and pressure.  There are 2.4 g of gas in the flask of oxygen.  Calculate the mass of helium present.","","reference to masses of 4 and 32 / ratio of 1:8 
$\frac{2.4 \times 4}{32} = 0.3 \, \si{\gram}$",""
"State the standard units of first ionisation energy","","$\text{kJ mol}^{-1} / \text{J mol}^{-1}$",""
"State the standard units of biochemical oxygen demand (BOD). ","","parts per million / ppm / $\text{mg L}^{-1} \text{g m}^{-3}$",""
"Name three homologous series of organic compounds that contain a carbonyl group. ","","aldehyde / ketone / carboxylic acid / ester [any three] ",""
"Oxygenates are often added to petrol.
Explain why oxygenates are often added to petrol.","","increase octane number / reduce auto-ignition / smoother combustion","'"
"Oxygenates are often added to petrol.
Identify an oxygenate suitable for this purpose.","","alcohol / any named alcohol, e.g. ethanol / ether / any named ether e.g. MTBE",""
"What is the specific purpose of adding aluminium sulfate:
during water treatment,","","flocculation",""
"What is the specific purpose of adding aluminium sulfate:
during the tertiary stage of sewage treatment?","","to remove phosphates",""
"Write a balanced chemical half equation for the reaction that occurs at the cathode when an electric current is passed through an aqueous solution of sodium sulfate.","","$2\text{H}_2\text{O} + 2\text{e}^- \rightarrow \text{H}_2 + 2\text{OH}^-$ [1] //
$\text{H}_2\text{O} + \text{e}^- \rightarrow \frac{1}{2}\text{H}_2 + \text{OH}^-$",""
"Explain the fundamental principle of chromatography. ","","mobile phase and stationary phase 
(substances have) selective adsorption / different affinities for either phase",""
"The structure of the painkiller benzocaine is shown on the right.  Calculate the percentage yield of a reaction in which 2412.3 g of pure benzocaine was obtained when the theoretical yield was 21.5 moles.","","$M_r = 165$ [1], 
$\frac{2412.3}{21.5 \times 165} = 0.68$, i.e., $68 \, (\%)$",""
"Identify three chemical species formed when carbon dioxide gas dissolves in pure water. ","","$H_2CO_3 / HCO_3^- / CO_3^{2-} / H^+$ [any three]",""
"Outline the contributions of each of the following to crystallography:
Lawrence Bragg","","developed X-ray (crystallography) technique",""
"Outline the contributions of each of the following to crystallography:
Dorothy Hodgkin ","","the structure of (bio)molecules",""
"In 1885 the Swiss mathematician Johann Balmer wrote a mathematical formula to describe the wavelengths of the visible line spectrum of atomic hydrogen, which is now named after him. However there was no explanation for the existence of these lines until 1913. In 1913 Bohr’s model of the hydrogen atom was shown to be consistent with the Balmer series. Bohr’s model was therefore supported by experimental evidence.
Bohr proposed that the electrons in an atom occupy energy levels. Explain what is meant by the term energy level.","","fixed energy / quantised energy / energy in an orbit / energy in a shell of an electron (in an atom)",""
"In 1885 the Swiss mathematician Johann Balmer wrote a mathematical formula to describe the wavelengths of the visible line spectrum of atomic hydrogen, which is now named after him. However there was no explanation for the existence of these lines until 1913. In 1913 Bohr’s model of the hydrogen atom was shown to be consistent with the Balmer series. Bohr’s model was therefore supported by experimental evidence.
Distinguish between the ground state and the excited states of the electron in a hydrogen atom.","","ground state: lowest energy / n = 1 / stable / in 1s // 
excited states: greater energy / n > 1 / unstable / not in 1s",""
"In 1885 the Swiss mathematician Johann Balmer wrote a mathematical formula to describe the wavelengths of the visible line spectrum of atomic hydrogen, which is now named after him. However there was no explanation for the existence of these lines until 1913. In 1913 Bohr’s model of the hydrogen atom was shown to be consistent with the Balmer series. Bohr’s model was therefore supported by experimental evidence.
Explain what happens when an electron moves from an excited state to its ground state.","","energy is released as a photon / as light / as em radiation / at a specific frequency / $E_m - E_n = h f$",""
"In 1885 the Swiss mathematician Johann Balmer wrote a mathematical formula to describe the wavelengths of the visible line spectrum of atomic hydrogen, which is now named after him. However there was no explanation for the existence of these lines until 1913. In 1913 Bohr’s model of the hydrogen atom was shown to be consistent with the Balmer series. Bohr’s model was therefore supported by experimental evidence.
Name the instrument used to examine the line spectrum of an element. ","","spectrometer / spectroscope",""
"In time, Bohr’s model was shown to be an over-simplification of the structure of multi-electron atoms.  Furthermore, modern atomic theory takes into account the wave nature of the electron and the Heisenberg uncertainty principle, which were not understood in 1913.
Explain how the Heisenberg uncertainty principle applies to an electron in an atom. ","","not possible to (accurately) measure certain pairs of physical properties (e.g. position and momentum/velocity) (3) at the same time",""
"In time, Bohr’s model was shown to be an over-simplification of the structure of multi-electron atoms.  Furthermore, modern atomic theory takes into account the wave nature of the electron and the Heisenberg uncertainty principle, which were not understood in 1913.
Write the full s, p electron configuration for an atom of neon (Ne) in its ground state, including the number of electrons in each atomic orbital.","","$1s^22s^2$
2p_{x}^22p_{y}^22p_{z}^2",""
"In time, Bohr’s model was shown to be an over-simplification of the structure of multi-electron atoms.  Furthermore, modern atomic theory takes into account the wave nature of the electron and the Heisenberg uncertainty principle, which were not understood in 1913.
By reference to the electron configuration for neon, distinguish between an energy sublevel and an atomic orbital.","","sublevel: 2p // (Ne has) 3 // can be > 2 e–
orbital: e.g. 2px // (Ne has) 5 // =2 e-" 
"In time, Bohr’s model was shown to be an over-simplification of the structure of multi-electron atoms.  Furthermore, modern atomic theory takes into account the wave nature of the electron and the Heisenberg uncertainty principle, which were not understood in 1913.
Neon is chemically unreactive.  Explain this property by reference to its electron configuration.","","full outer energy level / full p sublevel / satisfies octet rule ",""
"In time, Bohr’s model was shown to be an over-simplification of the structure of multi-electron atoms.  Furthermore, modern atomic theory takes into account the wave nature of the electron and the Heisenberg uncertainty principle, which were not understood in 1913.
Explain how the successive ionisation energy values of neon provide evidence supporting the existence of energy levels.","","ninth (ionisation energy) significantly greater (than the eighth) ",""
"In time, Bohr’s model was shown to be an over-simplification of the structure of multi-electron atoms.  Furthermore, modern atomic theory takes into account the wave nature of the electron and the Heisenberg uncertainty principle, which were not understood in 1913.
Draw the shape of a p orbital. ","","correct dumb-bell shape ","images/chemistry/answer/5b_vi.png"
"Hydrocarbon A may be converted to hydrocarbon B, as shown below.
Hydrocarbon A is obtained in the naphtha fraction when crude oil is fractionally distilled during oil refining.
Describe one property which hydrocarbon A has in common with the other hydrocarbons in the naphtha fraction.","images/chemistry/problem/6.png","boiling point (range) / mass / size / number of atoms",""
"Hydrocarbon A may be converted to hydrocarbon B, as shown below.
Hydrocarbon A is obtained in the naphtha fraction when crude oil is fractionally distilled during oil refining.
State the systematic IUPAC names of compounds A and B","images/chemistry/problem/6.png","A: octane B: 2, 2, 4-trimethylpentane",""
"Hydrocarbon A may be converted to hydrocarbon B, as shown below.
Hydrocarbon A is obtained in the naphtha fraction when crude oil is fractionally distilled during oil refining.
Explain why compounds A and B are referred to as saturated alkanes. ","images/chemistry/problem/6.png","only single bonds / no addition reactions possible / maximum H present ",""
"Hydrocarbon A may be converted to hydrocarbon B, as shown below.
The conversion of compound A to compound B occurs in a process that takes place in some oil refineries after fractional distillation.
Name the process that can convert compound A to compound B. ","images/chemistry/problem/6.png","isomerisation",""
"Hydrocarbon A may be converted to hydrocarbon B, as shown below.
The conversion of compound A to compound B occurs in a process that takes place in some oil refineries after fractional distillation.
Why is this conversion carried out? ","images/chemistry/problem/6.png","increase octane number / reduce auto-ignition / smoother combustion / increase branching",""
"Hydrocarbon A may be converted to hydrocarbon B, as shown below.
A molecule of compound A can undergo catalytic cracking to produce a molecule of methylpropane and a molecule of compound C.
Draw the molecular structure of methylpropane, including all atoms and bonds.","images/chemistry/problem/6.png","","images/chemistry/answer/6c_i.png"
