"problem","image_problem","answer","image_answer"
"4. (b) The graph below shows pV against the number of moles of a gas n at constant temperature T, where p is
the pressure and V is the volume of the gas in a container.
(ii) How many moles of the gas would be present if the pressure was 7 x 10$^3$ Pa and the volume 0.2 m$^3$ at
constant temperature T?","","PV= (7x10$^3$)(0.2)= 1400                // PV = nRT / (7x10$^3$)(0.2) = n(8.31)(292)
use graph to get n = 0.6( moles) // n = 0.6 (moles)",""
"4. (b) The graph below shows pV against the number of moles of a gas n at constant temperature T, where p is
the pressure and V is the volume of the gas in a container.
(iii) What is the unit of measurement of pV?","","Pam$^3$ / Nm / J",""
"4. (b) The graph below shows pV against the number of moles of a gas n at constant temperature T, where p is
the pressure and V is the volume of the gas in a container.
(iv) How will the temperature of the gas change if pV is kept constant and the number of moles of gas in
the container is increased? Justify your answer.","","temperature decreases
(PV constant and ) R is a constant / If n increases then T will decrease in order to keep PV constant",""
"5. (a)(i) Define
(a)    electrical resistance,","","ratio of voltage to current / R = $\frac{V}{I}$",""
"5. (a)(i) Define
(b)    the unit of electrical resistance i.e. the ohm.","","the resistance of a conductor is 1 ohm if a current of 1 ampere flows through it
when the potential difference (between its ends) is 1 volt",""
"5. (ii) Suggest two properties of a wire coil which would determine the size of its resistance.","","diameter or thickness or area / length /  type of material or resistivity ",""
"5. (b) The diagram shows an apparatus used to investigate the heating effect of a current.
A current I was allowed to flow through the coil for a fixed length of time and the rise in temperature of the
water Δθ was recorded. This was repeated for different values of the current I.
The following data were recorded:
I (A)        1.0        2.0        2.5        3.0        3.5        4.0
Δθ (°C)      1.2        4.8        7.5       10.8       14.7       19.2
(i) Draw a graph, on graph paper, that shows the relationship between I$^2$and Δθ.","","current values squared
axes labelled
scales correctly drawn
points correctly plotted
straight line through the origin",""
"5. (b) The diagram shows an apparatus used to investigate the heating effect of a current.
A current I was allowed to flow through the coil for a fixed length of time and the rise in temperature of the
water Δθ was recorded. This was repeated for different values of the current I.
The following data were recorded:
I (A)        1.0        2.0        2.5        3.0        3.5        4.0
Δθ (°C)      1.2        4.8        7.5       10.8       14.7       19.2
(ii) Hence, or otherwise, describe the relationship between the change in temperature and the current.","","Δθ ∝ I$^2$",""
"5. (b) The diagram shows an apparatus used to investigate the heating effect of a current.
A current I was allowed to flow through the coil for a fixed length of time and the rise in temperature of the
water Δθ was recorded. This was repeated for different values of the current I.
The following data were recorded:
I (A)        1.0        2.0        2.5        3.0        3.5        4.0
Δθ (°C)      1.2        4.8        7.5       10.8       14.7       19.2
(iii) Why was a fixed mass of water used for each value of the current?","","rise in temperature would have been affected by the mass of water present / can only have two
variables / fair test",""
"5. (b) The diagram shows an apparatus used to investigate the heating effect of a current.
A current I was allowed to flow through the coil for a fixed length of time and the rise in temperature of the
water Δθ was recorded. This was repeated for different values of the current I.
The following data were recorded:
I (A)        1.0        2.0        2.5        3.0        3.5        4.0
Δθ (°C)      1.2        4.8        7.5       10.8       14.7       19.2
(iv) Suggest a material which might be used for insulation.","","cotton wool /polystyrene etc",""
"5. (b) The diagram shows an apparatus used to investigate the heating effect of a current.
A current I was allowed to flow through the coil for a fixed length of time and the rise in temperature of the
water Δθ was recorded. This was repeated for different values of the current I.
The following data were recorded:
I (A)        1.0        2.0        2.5        3.0        3.5        4.0
Δθ (°C)      1.2        4.8        7.5       10.8       14.7       19.2
(v) Apart from insulation, state one other way of reducing heat loss.","","use a lid / maintain a room temperature close to the starting temperature",""
"5. (b) The diagram shows an apparatus used to investigate the heating effect of a current.
A current I was allowed to flow through the coil for a fixed length of time and the rise in temperature of the
water Δθ was recorded. This was repeated for different values of the current I.
The following data were recorded:
I (A)        1.0        2.0        2.5        3.0        3.5        4.0
Δθ (°C)      1.2        4.8        7.5       10.8       14.7       19.2
(vi) What is the function of X?","","alters and keeps the current constant",""
"5. (b) The diagram shows an apparatus used to investigate the heating effect of a current.
A current I was allowed to flow through the coil for a fixed length of time and the rise in temperature of the
water Δθ was recorded. This was repeated for different values of the current I.
The following data were recorded:
I (A)        1.0        2.0        2.5        3.0        3.5        4.0
Δθ (°C)      1.2        4.8        7.5       10.8       14.7       19.2
(vii) Use your graph to determine the size of the current flowing when the rise in temperature is 6 °C.","","Line shown from  6 °C on temperature axis
I$^2$= 5 => I = √5 = 2.2 A",""
"5. (c) The diagram shows a transformer with 9200 turns in its primary coil. The primary coil is connected to
230V mains supply. A 6.0V lamp connected to the secondary coil operates at full brightness.
(i) State one characteristic of the core of the transformer which helps to improve its efficiency.","","laminated / made of soft iron",""
"5. (c) The diagram shows a transformer with 9200 turns in its primary coil. The primary coil is connected to
230V mains supply. A 6.0V lamp connected to the secondary coil operates at full brightness.
Assume the transformer operates with 100% efficiency.
(ii) Calculate
(a)    the number of turns in the secondary coil,","","$\frac{N_p}{N_s} = \frac{V_p}{V_s}$
$\frac{9200}{N_s} = \frac{230}{6}$
$N_s = 240$ turns",""
"5. (c) The diagram shows a transformer with 9200 turns in its primary coil. The primary coil is connected to
230V mains supply. A 6.0V lamp connected to the secondary coil operates at full brightness.
Assume the transformer operates with 100% efficiency.
(ii) Calculate
(b)    the current in the primary circuit, if the current in the lamp is 0.23A.","","$V_pI_p = V_sI_s$
$230 ×I = 6 × 0.23 => I_p = 0.006 A$",""
"6. (a) A transparent semicircular block has a ray of light AB directed at the centre of the flat edge of the block.
The diagram below shows the path of the ray through the block and the emerging ray CD.
(i) State why the emerging ray CD does not change direction as it leaves the block.","","CD is perpendicular to the surface of the block / CD hits the surface normally / it coincides with a
radius (of the semi-circular block) / angle of incidence is zero",""
"6. (a) A transparent semicircular block has a ray of light AB directed at the centre of the flat edge of the block.
The diagram below shows the path of the ray through the block and the emerging ray CD.
(ii) As the ray enters the block, find
(a)    the angle of incidence,","","90° − 24° = 66°",""
"6. (a) A transparent semicircular block has a ray of light AB directed at the centre of the flat edge of the block.
The diagram below shows the path of the ray through the block and the emerging ray CD.
(ii) As the ray enters the block, find
(b)    the angle of refraction.","","90° − 50° = 40°",""
"6. (a) A transparent semicircular block has a ray of light AB directed at the centre of the flat edge of the block.
The diagram below shows the path of the ray through the block and the emerging ray CD.
(iii) Name and state the law which indicates the relationship between the two angles.","","Snell's law
sine of the angle of inci   dence is proportional to       // $\frac{\sin i}{\sin r}$
sine of the angle of refraction                         // = constant",""
"6. (a) A transparent semicircular block has a ray of light AB directed at the centre of the flat edge of the block.
The diagram below shows the path of the ray through the block and the emerging ray CD.
(iv) Calculate the refractive index of the block.","","n = $\frac{\sin 66}{\sin 40}$
n = 1.42",""
"6. (a) A transparent semicircular block has a ray of light AB directed at the centre of the flat edge of the block.
The diagram below shows the path of the ray through the block and the emerging ray CD.
(v) The angle between AB and the block is increased. How is the size of the angle of refraction affected?
Justify your answer.","","the angle of refraction decreases
the angle of incidence decreased",""
"6. (a) A transparent semicircular block has a ray of light AB directed at the centre of the flat edge of the block.
The diagram below shows the path of the ray through the block and the emerging ray CD.
(vi) Determine the critical angle of the block.","","n=$\frac{1}{\sin C}$
=1.42 => C = 44.8°",""
"6. (b) The diagram shows the electric field around two identical spheres A and B which are given different
quantities of charge.
(i) What type of charge is on sphere A?","","positive charge",""
"6. (b) The diagram shows the electric field around two identical spheres A and B which are given different
quantities of charge.
(ii) Which sphere has the greater charge? Justify your answer.","","sphere B // because more lines of force",""
"6. (b) The diagram shows the electric field around two identical spheres A and B which are given different
quantities of charge.
A plastic rod is rubbed with a cloth and becomes negatively charged. The rod is then held close to a neutral
metallic ball suspended from a nylon thread.
(iii) The metallic ball is attracted to the rod. Explain why this happens.","","(rod's negative charge) attracts                      // ( rod's negative charge) repels
positive charges to the side of the ball (closest to it) // negative charges to the side of the ball
                                                      (farthest from it)
[correctly labelled diagram showing positive charges on side of ball closest to the rod. (5)]",""
"6. (b) The diagram shows the electric field around two identical spheres A and B which are given different
quantities of charge.
A plastic rod is rubbed with a cloth and becomes negatively charged. The rod is then held close to a neutral
metallic ball suspended from a nylon thread.
(iv) The rod is then positively charged. Explain why the neutral ball is still attracted towards the rod.","","the positively charged rod repels positive charges on the ball
leaving negative charges near the rod",""
"6. (b) The diagram shows the electric field around two identical spheres A and B which are given different
quantities of charge.
A plastic rod is rubbed with a cloth and becomes negatively charged. The rod is then held close to a neutral
metallic ball suspended from a nylon thread.
(v) The ball is earthed when the positively charged rod is held close.
What charge is left on the ball when the earth is removed? Justify your answer.","","positive (charges remain on the ball)
the negative charges on the ball run to earth",""
"6. (b) The diagram shows the electric field around two identical spheres A and B which are given different
quantities of charge.
A plastic rod is rubbed with a cloth and becomes negatively charged. The rod is then held close to a neutral
metallic ball suspended from a nylon thread.
(vi) Draw a diagram to show the distribution of the charge on the ball when the rod is removed.","","Diagram showing charge distributed evenly across the surface of the ball",""
"6. (b) The diagram shows the electric field around two identical spheres A and B which are given different
quantities of charge.
A plastic rod is rubbed with a cloth and becomes negatively charged. The rod is then held close to a neutral
metallic ball suspended from a nylon thread.
(vii) State the SI unit of electric charge.","","coulomb / C",""
"6. (c) The diagram on the right shows a magnet with poles X and Y supported by a frame placed on an
electronic mass balance which shows a reading of 7.980g. When the current I flows in the wire the
balance reads 8.620g.
(i) Explain the change in the reading on the balance when the current I  flows in the wire.","","(the wire experiences a) downward force(changing the weight recorded on the balance)",""
"6. (c) The diagram on the right shows a magnet with poles X and Y supported by a frame placed on an
electronic mass balance which shows a reading of 7.980g. When the current I flows in the wire the
balance reads 8.620g.
(ii) Explain, with the aid of a labelled diagram, the direction of the force acting on a current-carrying
conductor that is in a magnetic field.","","three arrows perpendicular to each other
arrows labelled force, current and magnetic field
[reference to the left hand rule when no other marks awarded...(3)]",""
"6. (c) The diagram on the right shows a magnet with poles X and Y supported by a frame placed on an
electronic mass balance which shows a reading of 7.980g. When the current I flows in the wire the
balance reads 8.620g.
(iii) Is X a north pole or a south pole? Justify your answer.","","north pole
direction of current & force acting downwards / means magnetic field from X to Y",""
"6. (c) The diagram on the right shows a magnet with poles X and Y supported by a frame placed on an
electronic mass balance which shows a reading of 7.980g. When the current I flows in the wire the
balance reads 8.620g.
A moving-coil galvanometer operates on the principle demonstrated above.
(iv) What does a moving-coil galvanometer measure?","","small currents",""
"6. (c) The diagram on the right shows a magnet with poles X and Y supported by a frame placed on an
electronic mass balance which shows a reading of 7.980g. When the current I flows in the wire the
balance reads 8.620g. 
(v) Show, with the aid of a diagram, how a galvanometer can be adapted to operate as a moving-coil
voltmeter.","","diagram with galvanometer
in series with large resistor/multiplier",""
"6. (d) The graph on the right shows the decay curve for a particular radioactive substance.
(i) What term is used to describe the time taken for the activity (count rate) of a radioactive isotope
to reduce by 50%?","","half-life",""
"6. (d) The graph on the right shows the decay curve for a particular radioactive substance.
(ii) Use the graph to determine this time.","","2200 ÷ 2 =1100
2 s
[no unit or incorrect unit (-1)]",""
"6. (d) The graph on the right shows the decay curve for a particular radioactive substance.
(iii) Predict the value of the count rate 1.5 s from the start of the measurements.","","≈1300 (counts per second)",""
"6. (d) The graph on the right shows the decay curve for a particular radioactive substance.
(iv) How long will it take the count rate to decrease by 75%?","","2 × half-life     // 2200 ÷ 4 = 550
4 s
[no unit or incorrect unit (-1)]","" 
"6. (d) A student measures the level of radiation emitted by a radioactive source. He places a detector close to the
source and puts different absorbers between the source and the detector. The source is found to emit only
two types of radiation.
The results are in the table below.
Absorber       none     0.1 mm paper     3mm aluminium    100 mm lead
Counts per minute   125          73               73             10
(v) Which two types of radiation are being emitted by the source? Justify your answer.","","alpha
gamma
alpha: radiation stopped by 0.1 mm paper
gamma: radiation stopped by 100 mm lead",""
"7. (a) How many molecules are in 6g of N$_2$ gas?","","$\frac{6}{28}$ / 0.214 (moles)
0.214 x 6x10$^{23}$ = 1.29× 10$^{23}$ (molecules)",""
"7. (b) The diagram on the right incorrectly represents the outer 4 electrons in the 2p sublevel of a neutral
atom.
(i) Why is the representation incorrect?","","in order to occupy the same orbital two electrons must have opposite spins",""
"7. (b) The diagram on the right incorrectly represents the outer 4 electrons in the 2p sublevel of a neutral
atom.
(ii) Copy and write the correct representation.","","↑↓        ↑        ↑",""
"7. (c) The set of quantum numbers {3, 1, 0,$\frac{1}{2}$} describes one of the electrons in an atom.
Which quantum number describes
(i) the shape of the orbital containing the electron,","","1",""
"7. (c) The set of quantum numbers {3, 1, 0,$\frac{1}{2}$} describes one of the electrons in an atom.
Which quantum number describes
(ii) the energy of the electron in that orbital?","","3",""
"7. (d) The ions F$^-$ and Mg$^{2+}$ both have the same number of electrons.
Which has the larger radius? Justify your answer.","","F$^-$
Mg$^{2+}$ has a greater nuclear charge (which pulls the electrons in closer to the nucleus)",""
"7. (e) Explain why the size of the bond angle in water is less than the size of the bond angle in ammonia.","","H$_2$O has two lone pairs / NH$_3$ has one lone pair
the repulsion between two lone pairs is greater than the repulsion between a lone pair and a
bonding pair / lp:lp repulsion>lp:bp repulsion",""
"7. (f) Define electronegativity.","","measure of attraction / force or power of attraction / relative attraction(an atom in a molecule
has)
for a shared pair of electrons / for electrons in a covalent bond
['measure of' or 'power of' or 'relative' omitted (-1)]",""
"7. (g) What is a cation?","","positively charged ion / atom which has lost electron(s)",""
"7. (h) Balance the following equation:        FeSO$_4$ → Fe$_2$O$_3$ + SO$_2$ + SO$_3$","","2FeSO$_4$→ Fe$_2$O$_3$ + SO$_2$ +SO$_3$",""
"7. (i) State Hess's law.","","heat change for a reaction      // algebraic sum of heat changes equal to
Independent of path followed // heat change for reaction taking place in one step
[evolved instead of change..(-1)]",""
"7. (j) An atom has 2 more protons and 3 more neutrons than an atom of $_{26}^{56}$Fe.
(i) Identify the atom.","","Ni",""
"7. (j) An atom has 2 more protons and 3 more neutrons than an atom of $_{26}^{56}$Fe.
(ii) Identify  state its atomic and mass numbers. ","","28, 61",""
"7. (k) How many grams of aluminium (Al) are there in 50g of Al$_2$O$_3$?","","102g of Al$_2$O$_3$ contains 54g of Al
50g contains 26.47g of Al",""
"7. (l) Consider the compounds in the following list:CaO,Al$_2$O$_3$,SO$_2$,HCl,NH$_3$,CH$_4$
Identify from the list
(i) an acidic oxide","","SO$_2$",""
"7. (l) Consider the compounds in the following list:CaO,Al$_2$O$_3$,SO$_2$,HCl,NH$_3$,CH$_4$
Identify from the list
(ii)a hydride with low solubility in water","","CH$_4$",""
"7. (l) Consider the compounds in the following list:CaO,Al$_2$O$_3$,SO$_2$,HCl,NH$_3$,CH$_4$
Identify from the list
(iii) a basic hydride.","","NH$_3$",""
"7. (m) Rusting of iron is a familiar corrosion process. What two substances must be present to react with
iron during the rusting process?","","water, oxygen",""
"7. (n) Write (i) the formula of the acid which has the conjugate base H$_2$PO$_4$$^-$","","H$_3$PO$_4$",""
"7. (n) (ii) the formula of the base which has the conjugate acid H$_2$O.","","OH$^-$",""
"7. (o) Benzene is a stable molecule due to the presence of delocalised electrons.
What is meant by delocalised electrons?","","electrons shared between many atoms / electrons not associated with a single covalent bond
/ electrons moving between atoms",""
"7. (p) Distinguish between saturated and unsaturated hydrocarbons.","","saturated contain (only) single bonds (between the carbon atoms) /
Unsaturated contain a double or triple bond (between the carbon atoms)",""
"7. (q) Esters are formed when alcohols react with carboxylic acids.
What (i) alcohol","","CH$_3$OH /methanol",""
"7. (q) Esters are formed when alcohols react with carboxylic acids.
What (ii) carboxylic acid reacts to form the ester HCOOCH$_3$?","","HCOOH /methanoic acid",""
"7. (r) Draw the structural formula of 3-methyl-but-1-ene.","","double bond in correct location
CH$_3$ group attached to correct C and number of H's correct and in correct location",""
"8. (a)(i) Define the first ionisation energy of an element.","","minimum energy required
to remove the most loosely bound or outermost electron
from one mole of atoms (in its neutral gaseous state)
[minimum omitted ..(-1), one mole omitted.. (-1)]",""
"8. (a) The following equation describes the process occurring when the first ionisation energy
of sodium is measured:
Na$_{(g)}$ → Na$^+_{(g)}$ + e$^-$
(ii) Write an equation to describe the process occurring when the second ionisation
energy of sodium is measured.","","Na$^+_{(g)}$→ Na$^{2+}_{(g)}$ + e$^-$
[state symbols omitted ..(-1)]",""
"8. (a) The first 10 successive ionisation energies of element X are shown on the right.
(iii) Explain why there is such a large increase in energy from the fifth to the
sixth ionisation energies.","","the sixth electron is being removed from a full shell/energy level which is stable",""
"8. (a) The first 10 successive ionisation energies of element X are shown on the right.
(iv) Use the graph to estimate this increase in energy.","","15000 kJ mol$^{-1}$",""
"8. (a) The first 10 successive ionisation energies of element X are shown on the right.
(v) Identify element X if it occurs in period 3 of the periodic table. Justify your answer.","","P/ phosphorous
P (is in period 3 and) has 5 electrons in its n=3 main energy level or outer energy level",""
"8. (a) The first 10 successive ionisation energies of element X are shown on the right.
(vi) How many ionisation energies in total will this element X have?","","15 ionisation energies",""
